sdg,classifier_cosine_similarity,regression_cosine_similarity,regression_abs_cosine_similarity,regression_within_sdg_cosine_similarity,regression_within_sdg_abs_cosine_similarity
1,0.347191,0.718642,0.718642,0.718642,0.718642
2,0.37782,0.613307,0.613307,0.713915,0.713915
3,0.380694,0.531343,0.531343,0.705195,0.705195
4,0.34685,0.460534,0.460534,0.537547,0.537547
5,0.335304,0.516203,0.516203,0.684031,0.684031
6,0.39259,0.474697,0.474697,0.741425,0.741425
7,0.373958,0.477758,0.477758,0.72964,0.72964
8,0.408994,0.638753,0.638753,0.621722,0.621722
9,0.408383,0.51887,0.51887,0.71817,0.71817
10,0.344599,0.651424,0.651424,0.70549,0.70549
11,0.411248,0.543223,0.543223,0.646886,0.646886
12,0.385698,0.476827,0.476827,0.709828,0.709828
13,0.381817,0.502934,0.502934,0.731665,0.731665
14,0.381777,0.388086,0.388086,0.805312,0.805312
15,0.390085,0.452083,0.452083,0.718513,0.718513
16,0.239742,0.342834,0.342834,0.544513,0.544513
17,0.417252,0.526087,0.526087,0.766577,0.766577
