sdg,n_papers,n_policy_segments,n_policy_segments_capped,n_policy_docs,n_policy_docs_capped,segment_cap,raw_similarity,raw_gap,raw_research_cohesion,raw_policy_cohesion,sdg_balanced_adjusted_similarity,sdg_balanced_adjusted_gap,sdg_balanced_adjusted_gap_research_cohesion,sdg_balanced_adjusted_gap_policy_cohesion,delta_gap,classifier_available,skip_reason,unreliable,unreliable_reason
1,11804,2970,2214,351,351,50,0.747385,0.252615,0.330808,0.628618,0.808061,0.191939,0.331395,0.586337,0.060676,True,,False,
2,83441,2119,2020,347,347,50,0.675995,0.324005,0.41624,0.634466,0.739666,0.260334,0.41704,0.595145,0.063671,True,,False,
3,470627,3893,3506,391,391,50,0.576517,0.423483,0.366936,0.567277,0.643688,0.356312,0.367385,0.514236,0.067171,True,,False,
4,355720,3009,2994,366,366,50,0.713001,0.286999,0.451995,0.608575,0.778588,0.221412,0.452485,0.567247,0.065587,True,,False,
5,53741,3107,3066,499,499,50,0.751195,0.248805,0.381674,0.626336,0.806512,0.193488,0.381752,0.586497,0.055317,True,,False,
6,90715,1992,1941,302,302,50,0.509499,0.490501,0.413092,0.667035,0.589778,0.410222,0.413673,0.626619,0.080279,True,,False,
7,198743,2563,2343,367,367,50,0.502829,0.497171,0.420829,0.647785,0.59249,0.40751,0.42093,0.608662,0.089661,True,,False,
8,41898,2623,2415,312,312,50,0.731023,0.268977,0.403975,0.579455,0.803068,0.196932,0.404305,0.527622,0.072045,True,,False,
9,247370,4601,3626,408,408,50,0.765948,0.234052,0.383904,0.562703,0.831393,0.168607,0.384398,0.521886,0.065445,True,,False,
10,20323,852,732,208,208,50,0.567827,0.432173,0.316986,0.571582,0.634111,0.365889,0.317617,0.524953,0.066284,True,,False,
11,136616,2797,2735,297,297,50,0.553239,0.446761,0.412236,0.566982,0.620219,0.379781,0.412829,0.516872,0.06698,True,,False,
12,90960,2283,1951,286,286,50,0.575891,0.424109,0.363293,0.624065,0.66865,0.33135,0.364057,0.580221,0.092759,True,,False,
13,110645,4972,4530,1503,1503,50,0.471707,0.528293,0.405312,0.657534,0.534182,0.465818,0.4061,0.62016,0.062475,True,,False,
14,99162,2058,1675,343,343,50,0.514781,0.485219,0.350895,0.655227,0.582637,0.417363,0.351483,0.617537,0.067856,True,,False,
15,175447,2395,2156,353,353,50,0.535342,0.464658,0.414844,0.631502,0.599623,0.400377,0.415467,0.590059,0.064281,True,,False,
16,189046,3769,3408,1183,1183,50,0.6772,0.3228,0.362668,0.542971,0.741006,0.258994,0.363132,0.496978,0.063806,True,,False,
17,167440,8079,6651,1709,1709,50,0.328522,0.671478,0.344684,0.593334,0.37496,0.62504,0.345207,0.539803,0.046438,True,,False,
