rank,doc_id,corpus_type,assigned_sdg,projection_score,title,text_preview,source_doc_or_year
1,sdgi_00878_3,policy,3,0.486446,,"3.b. The country has seen an increase in total net official development assistance for medical research and basic health services: €5.1 thousand in 2018 and €3.3 million in 2021. 3.c. The number of health workers in the country has changed: a slight decrease in the number of doctors 49 per 10,000 inhabitants in 2018, 46.9 in 2021, an increase in the number of nurses and midwives (in 2018 there wer",sdgi_LTU_VNR_2023
2,sdgi_05080_12,policy,13,0.473152,,"It is a cause of concern that net ODA flows slid down by 4.3 per cent in 2018, with a dwindling share going to countries that needed it most. Further, against the commitment of raising USD 100 billion of additional resources annually by 2020 through the Green Climate Fund for meeting the pressing climate mitigation and adaptation needs of developing countries, only USD 10.3 billion equivalent in p",sdgi_IND_VNR_2020
3,sdgi_01520_21,policy,5,0.471153,,"When taking into account also other official flows, private funds mobilized through public intervention and support to international public goods, the Total Official Support to Sustainable Development (TOSSD) of the EU to SDG 5 amounted to EUR 5.9 billion in 2021. For EU institutions, the data on the OECD-DAC gender equality policy marker for 2021 shows that overall, the number of gender-responsiv",sdgi_EU_VNR_2023
4,sdgi_00810_14,policy,3,0.46993,,"Modest progress is being registered towards achievement of UHC, as illustrated by improvements on the UHC service coverage index. In 2019, it was 54.9, an increase from 47.6 in 2016.18 Target 3.6: By 2020, halve the number of global deaths and injuries from road traffic accidents Target 3.7: By 2030, ensure universal access to sexual and reproductive health-care services, including for family plan",sdgi_ERI_VNR_2022
5,sdgi_01173_15,policy,17,0.468879,,"64 EU external action ( 10) See UN SDG Report 2021 (page 34) and UN SDG Report 2022 (Page 33). ( 11) This budget complements the overall indicative financial envelope of Erasmus+ 2021-2027 which amounts to EUR 26.2 billion. Global trends Progress since 2015 to achieve SDG 4 has been hampered by the COVID-19 pandemic, with an estimated 147 million children unable to attend school in 2020 and 2021 (",sdgi_EU_VNR_2023
6,sdgi_00657_5,policy,3,0.465612,,"GOAL 3.2 By 2030, end, as a public health problem, the epidemics of AIDS, tuberculosis, malaria, viral hepatitis, neglected diseases, water-borne diseases, arboviruses transmitted by Aedes aegypti and other transmissible diseases. GOAL 3.3 B R A Z I L I A N SDG GOALS VOLUNTARY LOCAL REPORT ON SUSTAINABLE DEVELOPMENT GOALS IN THE STATE OF PARÁ • 2022 33 SDG 3. GOOD HEALTH AND WELL-BEING WHERE WE AR",sdgi_BRA_VLR_pará_2022
7,sdgi_04635_11,policy,17,0.463087,,"With regard to compliance with the right of access to public information, and as a means of ensuring its correct exercise, the target for 2030 is to reduce the number of requests for access to municipal information contested before the Commission for Guaranteeing the Right of Access to Public Information to less than 5%. In 2021, 8% of the petitions were contested, 3% less than in 2020. Details of",sdgi_ESP_VLR_barcelona_2022
8,sdgi_04940_1,policy,17,0.461868,,"17.19. Make good use of existing initiatives to produce indicators that make it possible to measure the progress achieved in terms of sustainable development and which complement the indicators used to measure Gross Domestic Product, and provide support for training in statistics for developing countries. Municipal strategies and plans considered for the localisation of SDG 17 · Barcelona Cooperat",sdgi_ESP_VLR_barcelona_2020
9,sdgi_01940_5,policy,6,0.45794,,"ASSESSMENT OF PROGRESS IN THE AUTONOMOUS REGIONS OVERALL EVALUATION Progress in autonomous regions in the indicators impacting SDG 6 can only be analysed for both island regions through the «Safe Water» indicator, which is the only one with data for both regions. The level of excellence of 5. Progress on the goals and targets and evaluation of policies and measures taken so far from the perspectiv",sdgi_PRT_VNR_2023
10,sdgi_00251_7,policy,1,0.457186,,"Child benefts should be index-linked, and should not entail deductions from other necessary welfare benefts for recipients; • maintain support for signifcant and enhanced ODA commitments to accelerate implementation of the 2030 agenda. Norway must continue to commit at least 1 per cent of GNI to ODA, and should commit to further ODA increases in light of post-pandemic challenges; • through develop",sdgi_NOR_VNR_2021
11,sdgi_05085_2,policy,17,0.455387,,"Since 2018 most goods imported and originating from LDCs have free access to the Icelandic market without customs, duties, or quotas. Iceland has also focused on putting gender equality on the agenda within international trade. Iceland will continue to support international partnerships and cooperation with civil society actors, the private sector, academia, and other stakeholders. Main challenges",sdgi_ISL_VNR_2023
12,sdgi_00076_7,policy,8,0.4544,,"It is a project that aims to contribute to the achievement of SDGs 1 and 10 by supporting MASFAMU and Provincial Governments to improve programs, policies and technical capacities and skills in the social protection sector, so that the government can increasingly respond effectively to the needs of the most vulnerable people. In 2019, under the APROSOC pilot project, two quarterly payment sessions",sdgi_AGO_VNR_2021
13,sdgi_00657_4,policy,3,0.453749,,"GOAL 3.7 Ensure, through the National Public Health Service (from the original, SUS), universal health coverage, access to quality essential health services at all levels of care and access to safe, effective, and quality essential medicines and vaccines. GOAL 3.8 By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals, contamination and pollution of the air and g",sdgi_BRA_VLR_pará_2022
14,sdgi_00639_1,policy,3,0.451679,,"3.2 By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births. 3.3 By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and othe",sdgi_ARG_VLR_buenos_aires_2021
15,sdgi_02192_0,policy,7,0.451631,,"| SECOND VOLUNTARY NATIONAL REVIEW REPORT ON THE IMPLEMENTATION OF THE SUSTAINABLE DEVELOPMENT GOALS - JUNE, 2020 .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 56 4.7 ENSURE ACCESS TO AFFORDABLE, RELIABLE, SUSTAINABLE AND MODERN ENERGY FOR ALL Indicator 7.1.1: Proportion of po",sdgi_KEN_VNR_2020
16,UN_SDG_Progress_Report_2022_0177,policy,17,0.450767,,"120 If outside, left-aligned and 0p3 away. $6.3 billion (or 3.5 per cent of total net ODA), amounting to nearly Number line 0p2 below bottom bar. Stroke .25pt. 857 million dosTeicsk fmoarr kdse 0vpe3 lloonpgi.n Tge xct o0up1n bterlioews .t ick mark. 80 Legend categories right-aligned, 1p0 apart, 0p3 between color bubble and Since 2015, net ODA has increased by 20 per cent. Despite fiscal text. pre",UN_SDG_Progress_Report_2022
17,sdgi_04894_0,policy,16,0.450151,,"5.16. SDG 16. PROMOTE PEACEFUL AND INCLUSIVE SOCIETIES FOR SUSTAINABLE DEVELOPMENT, PROVIDE ACCESS TO JUSTICE FOR ALL AND BUILD EFFECTIVE, ACCOUNTABLE AND INCLUSIVE INSTITUTIONS AT ALL LEVELS As well as life, education, health and other fundamental rights for all, access to justice for all and protection of peace environment are essential to ensure that sustainable development is fully realised. P",sdgi_TUR_VNR_2019
18,sdgi_05054_2,policy,17,0.450026,,"This corresponds to 0.59% of their collective gross national income(GNI). They stay committed to reaching their collective target of providing 0.7% of GNI as ODA by 2030 in line with the 2030 Agenda. 19 The EUand its Member States, in aTeam Europe approach, have supported partner countries towards sustainable recovery aligned with the SDGs. For this purpose, they provided EUR 47.7 billion from the",sdgi_EU_VNR_2023
19,sdgi_04369_3,policy,15,0.449986,,"The Comprehensive Plan will also include the city’s marine spatial planning and point out key habitats supporting local food webs, climate change needs, and recreational areas. A new Action Plan for the GRP 2021-2026 will be launched, where approx. EUR 8.9 million is allocated. This is an increase of 14% compared to the previous action plan. The action plan will improve the biodiversity and recrea",sdgi_SWE_VLR_helsingborg_2021
20,sdgi_01880_7,policy,3,0.449922,,"Further, all households in the GKMA travelled less than 500 m. The situation differs for the OUCs and Rural Areas, at 74.3 per cent and 51.1 per cent respectively. The improvement in the proportion for OUCs may be attributed to the increase in the proportion having access to improved sources and is consistent with projects rolled out by the NWC up to 2019. 140 CLEAN WATER AND SANITIZATION VOLUNTAR",sdgi_JAM_VNR_2022
21,sdgi_03737_12,policy,12,0.449845,,"VOLUNTARY NATIONAL REVIEW 2023 ON THE IMPLEMENTATION 131 OF THE SUSTAINABLE DEVELOPMENT GOALS Ministries, sectors, and localities have proactively implemented many activities to accelerate the comprehensive treatment of establishments causing serious environmental pollution. By the end of 2021, 372 out of 435 establishments basically completed thorough treatment, no longer causing serious environm",sdgi_VNM_VNR_2023
