sdg,available_research,available_policy,sampled_per_class,train_size,test_size,accuracy,macro_f1,roc_auc,coefficient_norm,intercept,classifier_available,skip_reason
1,11804,2970,2970,4752,1188,0.974747,0.974743,0.997052,21.140884,-4.34715,True,
2,83441,2119,2119,3390,848,0.956368,0.956354,0.991895,17.925373,-3.947538,True,
3,470627,3893,3893,6228,1558,0.969833,0.969832,0.994969,22.459751,-4.232159,True,
4,355720,3009,3009,4814,1204,0.98588,0.98588,0.998946,20.551544,-3.725214,True,
5,53741,3107,3107,4971,1243,0.982301,0.982298,0.998449,20.986952,-4.407172,True,
6,90715,1992,1992,3187,797,0.973651,0.973641,0.997267,15.974051,-3.307964,True,
7,198743,2563,2563,4100,1026,0.989279,0.989278,0.999039,16.862581,-3.362181,True,
8,41898,2623,2623,4196,1050,0.965714,0.965711,0.995541,20.057749,-3.596809,True,
9,247370,4601,4601,7361,1841,0.952743,0.952743,0.991066,24.519682,-4.75162,True,
10,20323,852,852,1363,341,0.970674,0.970674,0.99453,13.589638,-2.820564,True,
11,136616,2797,2797,4475,1119,0.974084,0.97408,0.998205,19.768509,-2.824448,True,
12,90960,2283,2283,3652,914,0.979212,0.979211,0.99683,18.097122,-3.186088,True,
13,110645,4972,4972,7955,1989,0.974359,0.974356,0.996731,21.321621,-4.289083,True,
14,99162,2058,2058,3292,824,0.981796,0.981793,0.998957,16.233448,-3.417436,True,
15,175447,2395,2395,3832,958,0.983299,0.983297,0.999407,17.485285,-3.120754,True,
16,189046,3769,3769,6030,1508,0.96618,0.96618,0.993485,23.504337,-3.533109,True,
17,167440,8079,8079,12926,3232,0.982054,0.982053,0.996746,23.294323,-4.727551,True,
