,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
SDG1,23.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
SDG2,1.0000,38.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0.0000,0.0000
SDG3,2.0000,0.0000,17.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000
SDG4,1.0000,0.0000,0.0000,39.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
SDG5,1.0000,0.0000,3.0000,0.0000,28.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
SDG6,0.0000,0.0000,0.0000,0.0000,0.0000,43.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,2.0000,1.0000,0.0000,0.0000
SDG7,2.0000,1.0000,0.0000,1.0000,0.0000,0.0000,43.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000
SDG8,2.0000,1.0000,1.0000,0.0000,5.0000,1.0000,0.0000,17.0000,2.0000,2.0000,3.0000,0.0000,1.0000,0.0000,0.0000,1.0000,2.0000
SDG9,0.0000,0.0000,0.0000,1.0000,2.0000,1.0000,0.0000,0.0000,20.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
SDG10,3.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,22.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
SDG11,1.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,15.0000,2.0000,4.0000,0.0000,1.0000,0.0000,1.0000
SDG12,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,26.0000,2.0000,0.0000,2.0000,0.0000,6.0000
SDG13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,2.0000,0.0000,25.0000,1.0000,1.0000,0.0000,3.0000
SDG14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,0.0000,30.0000,2.0000,0.0000,1.0000
SDG15,1.0000,2.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,5.0000,28.0000,0.0000,2.0000
SDG16,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,30.0000,0.0000
SDG17,2.0000,0.0000,0.0000,0.0000,1.0000,0.0000,2.0000,1.0000,6.0000,1.0000,1.0000,1.0000,6.0000,0.0000,1.0000,0.0000,9.0000
