sdg,research_pct,policy_pct_docweighted,coverage_gap_abs,research_dominance,semantic_gap,semantic_similarity,reliable
1,0.4057,2.1987,0.017929,-0.01793,0.467323,0.532677,1
2,2.2771,1.6694,0.006077,0.006077,0.296727,0.703273,1
3,21.3335,2.443,0.188905,0.188905,0.496552,0.503448,1
4,16.2525,1.9544,0.142981,0.142981,0.27709,0.72291,1
5,2.5043,5.741,0.032367,-0.032367,0.336569,0.663431,1
6,0.8979,0.8958,2.2e-05,2.1e-05,0.319629,0.680371,1
7,2.6124,2.158,0.004544,0.004544,0.387029,0.612971,1
8,3.6437,1.6287,0.02015,0.02015,0.566695,0.433305,1
9,24.4226,3.5423,0.208802,0.208803,0.393672,0.606328,1
10,1.114,0.3664,0.007475,0.007476,0.331583,0.668417,1
11,5.1482,1.9544,0.031938,0.031938,0.517292,0.482708,1
12,1.7144,0.3664,0.013479,0.01348,0.306956,0.693044,1
13,3.2861,19.1775,0.158914,-0.158914,0.44244,0.55756,1
14,2.4675,1.7508,0.007167,0.007167,0.483545,0.516455,1
15,1.7602,1.6694,0.000908,0.000908,0.251071,0.748929,1
16,9.8185,45.4805,0.356619,-0.35662,0.307051,0.692949,1
17,0.3414,7.0033,0.066619,-0.066619,0.262931,0.737069,1
