n_layers,hidden_size,lr,weight_decay,dropout,mean_f1,std_f1
2,256,0.001,0,0.3,0.6918,0.0054
2,256,0.0005,0.0001,0.3,0.6909,0.0049
2,256,0.001,0.0001,0.5,0.6904,0.0025
2,256,0.001,0.0001,0.3,0.6890,0.0033
2,256,0.0005,0,0.3,0.6881,0.0033
2,256,0.0005,0.0001,0.5,0.6875,0.0032
2,256,0.0005,0.0001,0.1,0.6870,0.0024
2,256,0.001,0,0.1,0.6862,0.0050
2,256,0.0005,0,0.5,0.6849,0.0045
2,256,0.0005,0,0.1,0.6848,0.0045
2,256,0.001,0,0.5,0.6847,0.0049
2,256,0.001,0.0001,0.1,0.6836,0.0045
2,128,0.001,0.0001,0.1,0.6814,0.0049
2,128,0.0005,0.0001,0.1,0.6805,0.0044
2,128,0.001,0,0.3,0.6799,0.0044
2,128,0.001,0,0.1,0.6793,0.0057
2,128,0.0005,0,0.1,0.6789,0.0050
1,256,0.001,0,0.1,0.6785,0.0038
2,128,0.001,0.0001,0.3,0.6783,0.0041
2,128,0.0005,0,0.3,0.6776,0.0073
2,128,0.0005,0.0001,0.3,0.6771,0.0046
1,256,0.0005,0,0.1,0.6756,0.0032
1,256,0.0005,0.0001,0.1,0.6752,0.0042
1,256,0.001,0.0001,0.1,0.6746,0.0050
1,256,0.001,0.0001,0.3,0.6737,0.0043
2,128,0.001,0.0001,0.5,0.6719,0.0056
1,256,0.001,0.0001,0.5,0.6715,0.0046
1,256,0.0005,0,0.3,0.6710,0.0030
1,256,0.001,0,0.3,0.6708,0.0060
1,256,0.0005,0.0001,0.3,0.6699,0.0064
1,128,0.0005,0,0.1,0.6697,0.0018
1,128,0.001,0,0.1,0.6694,0.0033
2,128,0.001,0,0.5,0.6693,0.0058
1,128,0.0005,0.0001,0.1,0.6668,0.0032
1,128,0.001,0.0001,0.1,0.6658,0.0066
1,256,0.001,0,0.5,0.6657,0.0044
1,256,0.0005,0.0001,0.5,0.6655,0.0052
1,128,0.001,0.0001,0.3,0.6653,0.0047
1,128,0.001,0,0.3,0.6638,0.0064
1,256,0.0005,0,0.5,0.6637,0.0040
2,128,0.0005,0.0001,0.5,0.6634,0.0033
1,128,0.0005,0.0001,0.3,0.6593,0.0010
1,128,0.0005,0,0.3,0.6579,0.0067
2,128,0.0005,0,0.5,0.6578,0.0049
1,128,0.001,0.0001,0.5,0.6478,0.0048
1,128,0.0005,0,0.5,0.6398,0.0063
1,128,0.001,0,0.5,0.6398,0.0059
1,128,0.0005,0.0001,0.5,0.6396,0.0087
