k,sdg,raw_gap,adjusted_gap,delta_gap,n_papers,n_policy_docs_capped,unreliable
1,1,0.317789,0.297459,-0.02033,17563,319,False
1,2,0.325858,0.300588,-0.02527,86745,332,False
1,3,0.437361,0.404928,-0.032433,454371,386,False
1,4,0.285634,0.252733,-0.032901,352005,364,False
1,5,0.251523,0.231732,-0.019791,58242,518,False
1,6,0.509269,0.482013,-0.027256,102589,305,False
1,7,0.497785,0.461829,-0.035956,212882,363,False
1,8,0.279997,0.252749,-0.027248,37550,301,False
1,9,0.220248,0.193507,-0.026741,260631,400,False
1,10,0.500903,0.476403,-0.0245,23872,163,False
1,11,0.456967,0.428496,-0.028471,138646,309,False
1,12,0.428023,0.396155,-0.031868,94787,289,False
1,13,0.536124,0.515282,-0.020842,133076,1643,False
1,14,0.483881,0.461064,-0.022817,98797,310,False
1,15,0.463841,0.440303,-0.023538,188842,379,False
1,16,0.35578,0.330007,-0.025773,213730,1395,False
1,17,0.658918,0.646787,-0.012131,69370,1441,False
2,1,0.317789,0.281814,-0.035975,17563,319,False
2,2,0.325858,0.276255,-0.049603,86745,332,False
2,3,0.437361,0.378076,-0.059285,454371,386,False
2,4,0.285634,0.225124,-0.06051,352005,364,False
2,5,0.251523,0.214457,-0.037066,58242,518,False
2,6,0.509269,0.454197,-0.055072,102589,305,False
2,7,0.497785,0.430699,-0.067086,212882,363,False
2,8,0.279997,0.231991,-0.048006,37550,301,False
2,9,0.220248,0.170588,-0.04966,260631,400,False
2,10,0.500903,0.456455,-0.044448,23872,163,False
2,11,0.456967,0.405873,-0.051094,138646,309,False
2,12,0.428023,0.366412,-0.061611,94787,289,False
2,13,0.536124,0.49762,-0.038504,133076,1643,False
2,14,0.483881,0.4392,-0.044681,98797,310,False
2,15,0.463841,0.419759,-0.044082,188842,379,False
2,16,0.35578,0.306984,-0.048796,213730,1395,False
2,17,0.658918,0.63524,-0.023678,69370,1441,False
3,1,0.317789,0.272158,-0.045631,17563,319,False
3,2,0.325858,0.256241,-0.069617,86745,332,False
3,3,0.437361,0.359844,-0.077517,454371,386,False
3,4,0.285634,0.209044,-0.07659,352005,364,False
3,5,0.251523,0.203004,-0.048519,58242,518,False
3,6,0.509269,0.435617,-0.073652,102589,305,False
3,7,0.497785,0.408078,-0.089707,212882,363,False
3,8,0.279997,0.218929,-0.061068,37550,301,False
3,9,0.220248,0.156933,-0.063315,260631,400,False
3,10,0.500903,0.436991,-0.063912,23872,163,False
3,11,0.456967,0.39266,-0.064307,138646,309,False
3,12,0.428023,0.346071,-0.081952,94787,289,False
3,13,0.536124,0.487431,-0.048693,133076,1643,False
3,14,0.483881,0.422989,-0.060892,98797,310,False
3,15,0.463841,0.404699,-0.059142,188842,379,False
3,16,0.35578,0.291666,-0.064114,213730,1395,False
3,17,0.658918,0.620597,-0.038321,69370,1441,False
5,1,0.317789,0.257526,-0.060263,17563,319,False
5,2,0.325858,0.225964,-0.099894,86745,332,False
5,3,0.437361,0.325659,-0.111702,454371,386,False
5,4,0.285634,0.186666,-0.098968,352005,364,False
5,5,0.251523,0.184161,-0.067362,58242,518,False
5,6,0.509269,0.407998,-0.101271,102589,305,False
5,7,0.497785,0.375697,-0.122088,212882,363,False
5,8,0.279997,0.196521,-0.083476,37550,301,False
5,9,0.220248,0.133267,-0.086981,260631,400,False
5,10,0.500903,0.408626,-0.092277,23872,163,False
5,11,0.456967,0.371211,-0.085756,138646,309,False
5,12,0.428023,0.314069,-0.113954,94787,289,False
5,13,0.536124,0.466906,-0.069218,133076,1643,False
5,14,0.483881,0.394847,-0.089034,98797,310,False
5,15,0.463841,0.377762,-0.086079,188842,379,False
5,16,0.35578,0.265218,-0.090562,213730,1395,False
5,17,0.658918,0.595889,-0.063029,69370,1441,False
