side,term,coefficient,rank
policy,national,6.299451,1
policy,sdg,6.116727,2
policy,ai,6.054471,3
policy,io,5.674245,4
policy,2020,5.527003,5
policy,report,5.333863,6
policy,2021,4.989705,7
policy,2017,4.944172,8
policy,figure,4.935809,9
policy,2019,4.871053,10
policy,to,4.863056,11
policy,country,4.856138,12
policy,government,4.845884,13
policy,people,4.772125,14
policy,programme,4.748732,15
policy,2030,4.668613,16
policy,development,4.430373,17
policy,or,4.380446,18
policy,all,4.26939,19
policy,areas,4.212088,20
policy,2018,4.196676,21
policy,will,4.165149,22
policy,city,4.104633,23
policy,health,4.048141,24
policy,co,4.038679,25
policy,plan,4.013765,26
policy,percent,3.987911,27
policy,also,3.983839,28
policy,000,3.95531,29
policy,per,3.955202,30
policy,2015,3.931355,31
policy,access,3.913287,32
policy,sdgs,3.881531,33
policy,cent,3.817062,34
policy,sustainable,3.79193,35
policy,ti,3.789431,36
policy,ar,3.774106,37
policy,poverty,3.762429,38
policy,capita,3.749811,39
policy,https,3.710714,40
policy,2022,3.70485,41
policy,shall,3.701694,42
policy,cooperation,3.66692,43
policy,im,3.644146,44
policy,council,3.605248,45
policy,ulation,3.589589,46
policy,countries,3.578989,47
policy,target,3.518383,48
policy,example,3.512163,49
policy,ensure,3.496252,50
research,study,-12.918293,1
research,this,-8.652741,2
research,paper,-7.929729,3
research,analysis,-7.512427,4
research,article,-7.094872,5
research,using,-7.027335,6
research,research,-6.6002,7
research,results,-5.489426,8
research,model,-5.488676,9
research,how,-5.367735,10
research,method,-4.976152,11
research,abstract,-4.577789,12
research,findings,-4.560655,13
research,proposed,-4.481832,14
research,based,-4.384555,15
research,china,-4.377912,16
research,present,-4.193909,17
research,literature,-3.975812,18
research,design,-3.936803,19
research,show,-3.914415,20
research,spatial,-3.904301,21
research,used,-3.547409,22
research,approach,-3.509547,23
research,between,-3.5,24
research,case,-3.475086,25
research,these,-3.461058,26
research,theory,-3.460684,27
research,understanding,-3.45159,28
research,amp,-3.446452,29
research,patients,-3.425529,30
research,potential,-3.335347,31
research,mental,-3.300941,32
research,methods,-3.286714,33
research,field,-3.231584,34
research,effectiveness,-3.207911,35
research,novel,-3.204562,36
research,models,-3.174759,37
research,control,-3.155601,38
research,communication,-3.094737,39
research,studies,-3.073891,40
research,recent,-3.072183,41
research,neural,-2.932356,42
research,were,-2.932035,43
research,clinical,-2.917336,44
research,examines,-2.850289,45
research,role,-2.846225,46
research,de,-2.843543,47
research,revolution,-2.837812,48
research,era,-2.81606,49
research,driven,-2.805776,50
