draw,centroid_cosine_to_baseline,semantic_similarity,semantic_gap,n_research_papers,n_policy_chunks,n_policy_chunks_capped,n_policy_docs,n_policy_docs_capped,policy_cohesion
1,0.974424,0.257096,0.742904,115663,6188,5208,1382,1382,0.603911
2,0.972185,0.339881,0.660119,63820,4975,4600,1319,1319,0.607956
3,0.984542,0.334501,0.665499,67525,6490,5341,1344,1344,0.603708
4,0.971001,0.329956,0.670044,70421,5743,4802,1200,1200,0.59485
5,0.96534,0.304699,0.695301,67335,4555,3923,1074,1074,0.611141
6,0.961953,0.246312,0.753688,77632,6126,5042,1406,1406,0.60331
7,0.97349,0.294598,0.705402,88238,5645,4692,1279,1279,0.607595
8,0.983974,0.411392,0.588608,57981,6011,5180,1176,1176,0.593367
9,0.973248,0.319086,0.680914,88644,5680,4735,1065,1065,0.595386
10,0.955968,0.283202,0.716798,76488,3886,3343,815,815,0.596792
11,0.986958,0.346843,0.653157,75773,7052,5924,1389,1389,0.596083
12,0.972643,0.317769,0.682231,101680,7224,5942,1457,1457,0.59799
13,0.967391,0.212324,0.787676,106194,5233,4248,1132,1132,0.604903
14,0.947959,0.290681,0.709319,87148,5864,4650,1234,1234,0.610504
15,0.980408,0.357924,0.642076,85443,6457,5518,1311,1311,0.593879
16,0.976732,0.257956,0.742044,57673,5174,4303,1256,1256,0.613412
17,0.990538,0.313726,0.686274,77662,6867,5717,1445,1445,0.604171
18,0.974874,0.28668,0.71332,57255,5600,5157,1435,1435,0.608741
19,0.958401,0.339275,0.660725,107672,5077,4200,916,916,0.594093
20,0.976874,0.304076,0.695924,77760,5916,4911,1252,1252,0.60081
21,0.967451,0.374552,0.625448,74343,7019,5979,1496,1496,0.592837
22,0.979391,0.470944,0.529056,64207,7428,6292,1504,1504,0.596792
23,0.956053,0.350364,0.649636,56072,5655,4805,1264,1264,0.608212
24,0.968423,0.279403,0.720597,107218,4571,3875,877,877,0.597367
25,0.960747,0.326963,0.673037,70763,4245,3863,1124,1124,0.607843
26,0.969304,0.423264,0.576736,76577,5810,4987,1216,1216,0.595798
27,0.97687,0.292418,0.707582,83932,5311,4747,1289,1289,0.603198
28,0.974526,0.23835,0.76165,96952,6009,4956,1378,1378,0.612383
29,0.98257,0.30611,0.69389,87295,7135,6059,1639,1639,0.604283
30,0.975912,0.317505,0.682495,83099,6312,5071,1183,1183,0.596095
31,0.960492,0.271755,0.728245,51450,5157,4136,1065,1065,0.60386
32,0.978401,0.256393,0.743607,74856,4811,4295,1247,1247,0.614431
33,0.978782,0.234047,0.765953,88991,5830,5038,1378,1378,0.605473
34,0.970704,0.268471,0.731529,84343,5872,4773,1261,1261,0.602177
35,0.975963,0.262464,0.737536,84437,5542,4889,1383,1383,0.606301
36,0.971321,0.322767,0.677233,79372,6296,5259,1383,1383,0.610011
37,0.978009,0.31122,0.68878,78592,5253,4712,1322,1322,0.603526
38,0.963868,0.26876,0.73124,77248,5284,4228,1118,1118,0.604356
39,0.979909,0.295671,0.704329,70174,5598,4491,1165,1165,0.60841
40,0.975424,0.304209,0.695791,79563,6488,5875,1617,1617,0.609186
41,0.977642,0.248408,0.751592,71479,5510,4506,1210,1210,0.606291
42,0.951447,0.252813,0.747187,91781,4439,4223,1174,1174,0.59956
43,0.962362,0.364646,0.635354,68996,6093,5131,1244,1244,0.596651
44,0.980233,0.249537,0.750463,82590,4714,4258,1234,1234,0.616441
45,0.971671,0.229646,0.770354,82351,4907,4580,1317,1317,0.608883
46,0.979059,0.308134,0.691866,63793,5190,4648,1310,1310,0.610359
47,0.956948,0.280847,0.719153,98184,6942,5940,1601,1601,0.608879
48,0.956438,0.267589,0.732411,76541,5721,4587,1282,1282,0.600933
49,0.972269,0.30511,0.69489,71608,6106,5243,1418,1418,0.60391
50,0.945538,0.43806,0.56194,79651,5059,4348,923,923,0.58424
51,0.97932,0.296317,0.703683,81466,5904,4881,1250,1250,0.603407
52,0.979531,0.422802,0.577198,54166,7093,5863,1434,1434,0.601225
53,0.963463,0.225803,0.774197,97122,4772,3876,1084,1084,0.602547
54,0.977779,0.371751,0.628249,66174,7265,6241,1560,1560,0.601366
55,0.9758,0.285673,0.714327,89650,4697,4089,1092,1092,0.604521
56,0.961771,0.312113,0.687887,63060,4677,3823,951,951,0.595029
57,0.984272,0.287099,0.712901,91263,6201,5160,1323,1323,0.602406
58,0.97941,0.313424,0.686576,94704,6946,5828,1349,1349,0.59278
59,0.981986,0.293236,0.706764,74098,6077,5327,1451,1451,0.605856
60,0.966029,0.318037,0.681963,82031,7101,5872,1543,1543,0.601479
61,0.981197,0.315331,0.684669,71693,6499,5297,1342,1342,0.604836
62,0.971481,0.296996,0.703004,104490,5580,4719,1125,1125,0.595017
63,0.950468,0.323899,0.676101,121509,6970,6482,1679,1679,0.60271
64,0.974889,0.337231,0.662769,81355,6005,5091,1371,1371,0.607882
65,0.981274,0.443418,0.556582,72474,7585,6399,1552,1552,0.597301
66,0.966093,0.322549,0.677451,50361,5673,4898,1396,1396,0.608716
67,0.974505,0.294367,0.705633,88758,5851,5359,1464,1464,0.608862
68,0.979217,0.297744,0.702256,72748,5685,4987,1397,1397,0.609998
69,0.972144,0.257387,0.742613,78328,6966,5757,1582,1582,0.610521
70,0.966253,0.283464,0.716536,87725,5919,4838,1236,1236,0.604406
71,0.976582,0.2849,0.7151,67422,5250,4508,1163,1163,0.600824
72,0.964373,0.274148,0.725852,70479,5819,4908,1279,1279,0.606552
73,0.977817,0.285396,0.714604,76190,4970,4311,1198,1198,0.607281
74,0.976533,0.265825,0.734175,105956,6130,5221,1414,1414,0.604286
75,0.951415,0.218687,0.781313,103338,4364,4187,1335,1335,0.610499
76,0.976768,0.270526,0.729474,69820,5624,4714,1245,1245,0.608904
77,0.984101,0.316965,0.683035,70846,5124,4514,1157,1157,0.602264
78,0.959886,0.316402,0.683598,81401,5330,4381,1123,1123,0.600362
79,0.972691,0.352854,0.647146,70891,4617,4168,1064,1064,0.603227
80,0.975647,0.272756,0.727244,83721,5321,4396,1180,1180,0.609637
81,0.971957,0.29791,0.70209,78590,6047,5313,1439,1439,0.608756
82,0.979846,0.25366,0.74634,93027,6175,5363,1429,1429,0.603961
83,0.987477,0.283333,0.716667,71048,5399,4802,1294,1294,0.605678
84,0.973951,0.306991,0.693009,72684,6672,5655,1476,1476,0.601583
85,0.972519,0.279696,0.720304,118526,5954,4949,1169,1169,0.595044
86,0.97173,0.326724,0.673276,59242,5154,4617,1348,1348,0.614749
87,0.975311,0.328988,0.671012,73084,6481,5358,1379,1379,0.600577
88,0.978904,0.210645,0.789355,95973,5983,5161,1484,1484,0.610341
89,0.975735,0.344335,0.655665,77018,6184,5441,1397,1397,0.602545
90,0.979357,0.349192,0.650808,63661,5834,5009,1275,1275,0.602424
91,0.977158,0.298572,0.701428,70387,6537,5884,1602,1602,0.60515
92,0.961946,0.361269,0.638731,80187,5811,5300,1416,1416,0.595401
93,0.972844,0.405468,0.594532,68370,6537,5646,1419,1419,0.599848
94,0.981341,0.33818,0.66182,67619,6485,5330,1295,1295,0.602379
95,0.959078,0.282329,0.717671,74244,5456,4938,1469,1469,0.612908
96,0.980195,0.28289,0.71711,78956,4530,3993,1080,1080,0.608915
97,0.955694,0.2599,0.7401,78851,3939,3254,831,831,0.603903
98,0.962316,0.380829,0.619171,73914,6928,5751,1378,1378,0.596898
99,0.96713,0.264216,0.735784,104463,5397,4763,1296,1296,0.60383
100,0.963302,0.250272,0.749728,77278,3780,3451,985,985,0.606291
101,0.967264,0.351039,0.648961,64405,4923,4197,1036,1036,0.597327
102,0.967944,0.248922,0.751078,85366,5302,4384,1132,1132,0.610256
103,0.981337,0.303673,0.696327,85827,6164,5219,1335,1335,0.600869
104,0.975223,0.278591,0.721409,86567,6452,5755,1527,1527,0.607252
105,0.970393,0.338915,0.661085,101152,6340,5311,1328,1328,0.596568
106,0.958419,0.433905,0.566095,75294,6015,5264,1361,1361,0.603095
107,0.963099,0.290431,0.709569,65536,5539,4781,1267,1267,0.599266
108,0.971009,0.283734,0.716266,78312,4130,3756,1036,1036,0.607631
109,0.966345,0.260448,0.739552,86071,4544,3593,832,832,0.600389
110,0.970069,0.264416,0.735584,90369,5618,4696,1294,1294,0.612528
111,0.968351,0.272034,0.727966,57760,4734,4095,1178,1178,0.612945
112,0.968374,0.380244,0.619756,78495,7635,6335,1536,1536,0.600239
113,0.990106,0.364534,0.635466,67064,6899,5739,1374,1374,0.598377
114,0.979212,0.293554,0.706446,92207,5869,4936,1283,1283,0.601151
115,0.971283,0.2702,0.7298,83350,5379,4523,1190,1190,0.603783
116,0.96346,0.3016,0.6984,70123,6307,5148,1240,1240,0.603026
117,0.983815,0.412123,0.587877,47901,6555,5422,1354,1354,0.602784
118,0.974096,0.227638,0.772362,96146,5042,4036,1088,1088,0.610749
119,0.978138,0.383913,0.616087,75396,6167,5346,1309,1309,0.597089
120,0.965587,0.270922,0.729078,75734,6011,4949,1243,1243,0.604063
121,0.976127,0.241641,0.758359,77031,5454,4487,1254,1254,0.609483
122,0.982487,0.289835,0.710165,73338,6205,5121,1346,1346,0.604462
123,0.967799,0.248813,0.751187,92892,4917,4459,1267,1267,0.606251
124,0.974287,0.322969,0.677031,65285,4711,3865,1049,1049,0.608396
125,0.965523,0.379305,0.620695,62814,7096,5875,1492,1492,0.603936
126,0.975206,0.292645,0.707355,84364,5707,4757,1259,1259,0.60671
127,0.965291,0.349473,0.650527,47854,5737,4705,1269,1269,0.610056
128,0.969707,0.261438,0.738562,76704,4411,4117,1183,1183,0.610055
129,0.979959,0.419224,0.580776,84914,6908,5894,1380,1380,0.593897
130,0.96466,0.329091,0.670909,80670,7045,5957,1550,1550,0.601003
131,0.97418,0.252036,0.747964,91747,6667,5453,1427,1427,0.601009
132,0.987828,0.342344,0.657656,84064,6529,5638,1341,1341,0.598202
133,0.967805,0.315517,0.684483,64207,5130,4033,925,925,0.604165
134,0.964547,0.24511,0.75489,81281,4236,3926,1138,1138,0.616793
135,0.975747,0.277718,0.722282,87422,5580,4705,1287,1287,0.610256
136,0.977366,0.449969,0.550031,78063,6944,6218,1504,1504,0.59707
137,0.975973,0.333401,0.666599,93401,6003,4993,1168,1168,0.598767
138,0.974082,0.315223,0.684777,81053,7178,6297,1580,1580,0.598116
139,0.976262,0.295365,0.704635,77654,6234,5258,1361,1361,0.600225
140,0.973381,0.324296,0.675704,96288,6063,4960,1177,1177,0.594017
141,0.973881,0.301826,0.698174,93686,5786,4630,1077,1077,0.597971
142,0.959772,0.29736,0.70264,118135,5135,4640,1250,1250,0.60059
143,0.978918,0.318227,0.681773,100611,6358,5370,1320,1320,0.594632
144,0.959339,0.260155,0.739845,96932,5767,4922,1375,1375,0.60748
145,0.976724,0.318228,0.681772,105204,6819,6097,1549,1549,0.597075
146,0.973025,0.281788,0.718212,78083,5684,4709,1165,1165,0.603069
147,0.975825,0.2945,0.7055,86526,6013,5204,1410,1410,0.602596
148,0.980014,0.402421,0.597579,50641,5526,4953,1264,1264,0.601359
149,0.955483,0.267474,0.732526,65354,4223,3619,941,941,0.607034
150,0.97954,0.353218,0.646782,87426,6361,5317,1176,1176,0.592555
151,0.981355,0.319508,0.680492,64967,5961,5022,1357,1357,0.610387
152,0.983511,0.336198,0.663802,91419,7005,5993,1481,1481,0.598164
153,0.960922,0.237058,0.762942,116546,4106,3781,1085,1085,0.60958
154,0.980708,0.330626,0.669374,56566,6204,4979,1266,1266,0.607666
155,0.964519,0.251978,0.748022,108371,6461,5637,1589,1589,0.606695
156,0.96233,0.231752,0.768248,90775,3632,3263,880,880,0.613114
157,0.971295,0.31529,0.68471,101762,6056,5319,1358,1358,0.596255
158,0.965208,0.47504,0.52496,74396,6170,5143,1226,1226,0.59194
159,0.97969,0.351978,0.648022,68181,5504,4756,1243,1243,0.607703
160,0.977527,0.358549,0.641451,65543,6297,5278,1373,1373,0.6019
161,0.952002,0.231539,0.768461,88287,3950,3794,1135,1135,0.605453
162,0.989401,0.33593,0.66407,67886,6100,5227,1323,1323,0.59948
163,0.982174,0.328089,0.671911,73362,6459,5336,1318,1318,0.599666
164,0.970436,0.331464,0.668536,73791,4926,4356,1134,1134,0.602166
165,0.978392,0.328041,0.671959,58509,5622,5033,1377,1377,0.608271
166,0.977086,0.393813,0.606187,58507,6465,5722,1405,1405,0.596477
167,0.976491,0.347446,0.652554,56581,5531,4829,1273,1273,0.608541
168,0.978714,0.326537,0.673463,76740,5527,4693,1207,1207,0.603405
169,0.979584,0.27803,0.72197,88917,5226,4368,1130,1130,0.606657
170,0.961475,0.237846,0.762154,102325,4581,4210,1234,1234,0.609717
171,0.972206,0.250743,0.749257,72434,4874,4302,1174,1174,0.608646
172,0.980618,0.314401,0.685599,68585,5495,4906,1372,1372,0.605721
173,0.971938,0.280272,0.719728,93193,6394,5265,1370,1370,0.599083
174,0.9853,0.337187,0.662813,62575,6278,5289,1336,1336,0.603491
175,0.964606,0.339186,0.660814,65053,6509,5671,1451,1451,0.602026
176,0.974884,0.391704,0.608296,78724,5780,5066,1261,1261,0.59441
177,0.971851,0.443691,0.556309,71019,7518,6299,1451,1451,0.593396
178,0.965201,0.25451,0.74549,92300,5225,4625,1353,1353,0.609237
179,0.975653,0.451935,0.548065,64437,6178,5226,1206,1206,0.598764
180,0.980721,0.261821,0.738179,84260,4739,4313,1248,1248,0.613662
181,0.979556,0.232444,0.767556,86455,5497,4500,1241,1241,0.61344
182,0.973437,0.22753,0.77247,80179,5001,4444,1314,1314,0.617696
183,0.974454,0.317256,0.682744,64307,4892,4302,1086,1086,0.60488
184,0.975788,0.27259,0.72741,59826,5064,4033,1079,1079,0.616762
185,0.964435,0.295174,0.704826,60364,4836,4269,1157,1157,0.609937
186,0.983805,0.293881,0.706119,65536,5634,4995,1319,1319,0.607458
187,0.970865,0.229093,0.770907,88558,4788,4030,1121,1121,0.617027
188,0.990908,0.321779,0.678221,71597,6209,5196,1305,1305,0.602648
189,0.978247,0.398044,0.601956,73116,6065,5131,1261,1261,0.599355
190,0.978054,0.359158,0.640842,76318,6372,5303,1276,1276,0.59809
191,0.976587,0.323698,0.676302,95665,5840,4722,1142,1142,0.601455
192,0.966215,0.29036,0.70964,63803,4950,4313,1262,1262,0.611102
193,0.974216,0.441776,0.558224,43967,6060,4908,1246,1246,0.603363
194,0.967806,0.292908,0.707092,72758,7120,5817,1567,1567,0.600587
195,0.991126,0.377552,0.622448,57695,6313,5361,1359,1359,0.602142
196,0.983411,0.336875,0.663125,76495,6051,5352,1448,1448,0.605023
