,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
SDG1,1.0000,0.6446,0.5926,0.5720,0.6735,0.4413,0.4450,0.7805,0.5290,0.8869,0.5680,0.4153,0.5173,0.3252,0.4123,0.3474,0.5472
SDG2,0.6446,1.0000,0.4789,0.4431,0.4721,0.6351,0.6506,0.6456,0.6435,0.6411,0.5855,0.6523,0.6627,0.6057,0.6523,0.2429,0.6758
SDG3,0.5926,0.4789,1.0000,0.4440,0.5050,0.4386,0.3849,0.5930,0.4953,0.5605,0.5222,0.4258,0.4576,0.3450,0.3959,0.2888,0.4848
SDG4,0.5720,0.4431,0.4440,1.0000,0.5314,0.3503,0.3542,0.6622,0.5381,0.5558,0.4829,0.3415,0.4369,0.2954,0.3384,0.3175,0.4963
SDG5,0.6735,0.4721,0.5050,0.5314,1.0000,0.3711,0.3315,0.7036,0.4745,0.6706,0.4602,0.3450,0.4435,0.3022,0.3557,0.4670,0.4847
SDG6,0.4413,0.6351,0.4386,0.3503,0.3711,1.0000,0.6594,0.4613,0.5473,0.4186,0.6447,0.6748,0.7073,0.6245,0.6750,0.2919,0.6416
SDG7,0.4450,0.6506,0.3849,0.3542,0.3315,0.6594,1.0000,0.5362,0.6842,0.4891,0.6219,0.7167,0.7398,0.5083,0.5717,0.1828,0.7152
SDG8,0.7805,0.6456,0.5930,0.6622,0.7036,0.4613,0.5362,1.0000,0.7010,0.8728,0.6241,0.4960,0.5499,0.4034,0.4276,0.3284,0.6347
SDG9,0.5290,0.6435,0.4953,0.5381,0.4745,0.5473,0.6842,0.7010,1.0000,0.5915,0.7163,0.6284,0.6609,0.4966,0.5423,0.3248,0.8131
SDG10,0.8869,0.6411,0.5605,0.5558,0.6706,0.4186,0.4891,0.8728,0.5915,1.0000,0.5570,0.4176,0.5101,0.3484,0.3859,0.3346,0.5570
SDG11,0.5680,0.5855,0.5222,0.4829,0.4602,0.6447,0.6219,0.6241,0.7163,0.5570,1.0000,0.6411,0.6668,0.4400,0.6160,0.3614,0.6912
SDG12,0.4153,0.6523,0.4258,0.3415,0.3450,0.6748,0.7167,0.4960,0.6284,0.4176,0.6411,1.0000,0.6744,0.5755,0.6711,0.2590,0.6584
SDG13,0.5173,0.6627,0.4576,0.4369,0.4435,0.7073,0.7398,0.5499,0.6609,0.5101,0.6668,0.6744,1.0000,0.5772,0.7248,0.3712,0.8596
SDG14,0.3252,0.6057,0.3450,0.2954,0.3022,0.6245,0.5083,0.4034,0.4966,0.3484,0.4400,0.5755,0.5772,1.0000,0.6495,0.2475,0.5340
SDG15,0.4123,0.6523,0.3959,0.3384,0.3557,0.6750,0.5717,0.4276,0.5423,0.3859,0.6160,0.6711,0.7248,0.6495,1.0000,0.2985,0.6672
SDG16,0.3474,0.2429,0.2888,0.3175,0.4670,0.2919,0.1828,0.3284,0.3248,0.3346,0.3614,0.2590,0.3712,0.2475,0.2985,1.0000,0.4141
SDG17,0.5472,0.6758,0.4848,0.4963,0.4847,0.6416,0.7152,0.6347,0.8131,0.5570,0.6912,0.6584,0.8596,0.5340,0.6672,0.4141,1.0000
