k,sdg,raw_gap,adjusted_gap,delta_gap,n_papers,n_policy_docs_capped,unreliable
1,1,0.320507,0.2884,-0.032107,17563,309,False
1,2,0.325625,0.292879,-0.032746,86745,311,False
1,3,0.469758,0.426334,-0.043424,454371,353,False
1,4,0.295244,0.254546,-0.040698,352005,332,False
1,5,0.255961,0.226838,-0.029123,58242,495,False
1,6,0.510657,0.476453,-0.034204,102589,293,False
1,7,0.498103,0.452111,-0.045992,212882,341,False
1,8,0.295994,0.256747,-0.039247,37550,273,False
1,9,0.283058,0.245576,-0.037482,260631,340,False
1,10,0.518178,0.474929,-0.043249,23872,152,False
1,11,0.460252,0.423929,-0.036323,138646,287,False
1,12,0.429667,0.387811,-0.041856,94787,271,False
1,13,0.544035,0.516786,-0.027249,133076,1607,False
1,14,0.485417,0.455968,-0.029449,98797,301,False
1,15,0.464566,0.436455,-0.028111,188842,359,False
1,16,0.380821,0.341805,-0.039016,213730,1346,False
1,17,0.668512,0.64985,-0.018662,69370,1385,False
2,1,0.320507,0.267386,-0.053121,17563,309,False
2,2,0.325625,0.264834,-0.060791,86745,311,False
2,3,0.469758,0.394112,-0.075646,454371,353,False
2,4,0.295244,0.223483,-0.071761,352005,332,False
2,5,0.255961,0.205282,-0.050679,58242,495,False
2,6,0.510657,0.444848,-0.065809,102589,293,False
2,7,0.498103,0.416139,-0.081964,212882,341,False
2,8,0.295994,0.229929,-0.066065,37550,273,False
2,9,0.283058,0.2171,-0.065958,260631,340,False
2,10,0.518178,0.442862,-0.075316,23872,152,False
2,11,0.460252,0.398121,-0.062131,138646,287,False
2,12,0.429667,0.353348,-0.076319,94787,271,False
2,13,0.544035,0.495628,-0.048407,133076,1607,False
2,14,0.485417,0.429883,-0.055534,98797,301,False
2,15,0.464566,0.413323,-0.051243,188842,359,False
2,16,0.380821,0.311357,-0.069464,213730,1346,False
2,17,0.668512,0.633554,-0.034958,69370,1385,False
3,1,0.320507,0.254725,-0.065782,17563,309,False
3,2,0.325625,0.243961,-0.081664,86745,311,False
3,3,0.469758,0.371854,-0.097904,454371,353,False
3,4,0.295244,0.205269,-0.089975,352005,332,False
3,5,0.255961,0.190946,-0.065015,58242,495,False
3,6,0.510657,0.424537,-0.08612,102589,293,False
3,7,0.498103,0.393883,-0.10422,212882,341,False
3,8,0.295994,0.212785,-0.083209,37550,273,False
3,9,0.283058,0.200287,-0.082771,260631,340,False
3,10,0.518178,0.417535,-0.100643,23872,152,False
3,11,0.460252,0.382426,-0.077826,138646,287,False
3,12,0.429667,0.331055,-0.098612,94787,271,False
3,13,0.544035,0.482519,-0.061516,133076,1607,False
3,14,0.485417,0.411597,-0.07382,98797,301,False
3,15,0.464566,0.395847,-0.068719,188842,359,False
3,16,0.380821,0.292993,-0.087828,213730,1346,False
3,17,0.668512,0.616724,-0.051788,69370,1385,False
5,1,0.320507,0.240758,-0.079749,17563,309,False
5,2,0.325625,0.216842,-0.108783,86745,311,False
5,3,0.469758,0.334454,-0.135304,454371,353,False
5,4,0.295244,0.182899,-0.112345,352005,332,False
5,5,0.255961,0.171369,-0.084592,58242,495,False
5,6,0.510657,0.397624,-0.113033,102589,293,False
5,7,0.498103,0.36685,-0.131253,212882,341,False
5,8,0.295994,0.18873,-0.107264,37550,273,False
5,9,0.283058,0.176268,-0.10679,260631,340,False
5,10,0.518178,0.385309,-0.132869,23872,152,False
5,11,0.460252,0.358972,-0.10128,138646,287,False
5,12,0.429667,0.300813,-0.128854,94787,271,False
5,13,0.544035,0.461706,-0.082329,133076,1607,False
5,14,0.485417,0.385996,-0.099421,98797,301,False
5,15,0.464566,0.368805,-0.095761,188842,359,False
5,16,0.380821,0.268825,-0.111996,213730,1346,False
5,17,0.668512,0.593522,-0.07499,69370,1385,False
