sdg,pair_count,research_sample_n,raw_mean_matched_cosine,adjusted_mean_matched_cosine,delta_mean_cosine,raw_mean_matched_gap,adjusted_mean_matched_gap
1,2018,5000,0.605395,0.599047,-0.006348,0.394605,0.400953
2,1848,5000,0.591124,0.58597,-0.005154,0.408876,0.41403
3,3009,5000,0.533533,0.529834,-0.0037,0.466467,0.470166
4,2762,5000,0.559921,0.556055,-0.003866,0.440079,0.443945
5,3054,5000,0.599087,0.592853,-0.006233,0.400913,0.407147
6,1915,5000,0.580379,0.574696,-0.005683,0.419621,0.425304
7,2239,5000,0.570358,0.566431,-0.003927,0.429642,0.433569
8,1865,5000,0.561768,0.5556,-0.006168,0.438232,0.4444
9,2066,5000,0.554789,0.551965,-0.002824,0.445211,0.448035
10,477,5000,0.534322,0.530948,-0.003374,0.465678,0.469052
11,2815,5000,0.548708,0.545394,-0.003314,0.451292,0.454606
12,1873,5000,0.583501,0.57825,-0.005251,0.416499,0.42175
13,4685,5000,0.602205,0.595133,-0.007072,0.397795,0.404867
14,1496,5000,0.593034,0.587318,-0.005717,0.406966,0.412682
15,2144,5000,0.563171,0.558231,-0.00494,0.436829,0.441769
16,3401,5000,0.54643,0.542418,-0.004012,0.45357,0.457582
17,5144,5000,0.564661,0.55276,-0.011901,0.435339,0.44724
