sdg,research_pct,policy_pct_docweighted,coverage_gap_abs,research_dominance,semantic_gap,semantic_similarity,reliable
1,0.6905,0.8958,0.002053,-0.002053,0.317789,0.682211,1
2,3.4102,0.3664,0.030437,0.030438,0.325858,0.674142,1
3,17.8626,0.3664,0.174962,0.174962,0.437361,0.562639,1
4,13.8383,0.2036,0.136347,0.136347,0.285634,0.714366,1
5,2.2897,1.1401,0.011496,0.011496,0.251523,0.748477,1
6,4.0331,0.3664,0.036666,0.036667,0.509269,0.490731,1
7,8.369,0.4072,0.079618,0.079618,0.497785,0.502215,1
8,1.4762,0.285,0.011912,0.011912,0.279997,0.720003,1
9,10.2461,2.3616,0.078846,0.078845,0.220248,0.779752,1
10,0.9385,0.0,0.009385,0.009385,0.500903,0.499097,1
11,5.4506,2.7687,0.026818,0.026819,0.456967,0.543033,1
12,3.7263,0.2443,0.03482,0.03482,0.428023,0.571977,1
13,5.2316,35.4642,0.302326,-0.302326,0.536124,0.463876,1
14,3.884,0.1221,0.037618,0.037619,0.483881,0.516119,1
15,7.4239,0.8143,0.066096,0.066096,0.463841,0.536159,1
16,8.4023,19.7476,0.113452,-0.113453,0.35578,0.64422,1
17,2.7271,34.4463,0.317191,-0.317192,0.658918,0.341082,1
