variant,temperature,metric,value
raw_softmax,0.03,spearman_hard_vs_soft_coverage_gap,0.955882
raw_softmax,0.03,pearson_hard_vs_soft_coverage_gap,0.949265
raw_softmax,0.03,spearman_hard_vs_soft_semantic_gap,0.909314
raw_softmax,0.03,pearson_hard_vs_soft_semantic_gap,0.886575
raw_softmax,0.03,mean_abs_coverage_difference,0.02417
raw_softmax,0.03,mean_abs_semantic_gap_difference,0.048145
raw_softmax,0.03,top3_overlap_coverage_gap,2.0
raw_softmax,0.03,top3_overlap_semantic_gap,2.0
raw_softmax,0.05,spearman_hard_vs_soft_coverage_gap,0.95098
raw_softmax,0.05,pearson_hard_vs_soft_coverage_gap,0.940663
raw_softmax,0.05,spearman_hard_vs_soft_semantic_gap,0.781863
raw_softmax,0.05,pearson_hard_vs_soft_semantic_gap,0.747759
raw_softmax,0.05,mean_abs_coverage_difference,0.031211
raw_softmax,0.05,mean_abs_semantic_gap_difference,0.078451
raw_softmax,0.05,top3_overlap_coverage_gap,2.0
raw_softmax,0.05,top3_overlap_semantic_gap,2.0
raw_softmax,0.1,spearman_hard_vs_soft_coverage_gap,0.865196
raw_softmax,0.1,pearson_hard_vs_soft_coverage_gap,0.92822
raw_softmax,0.1,spearman_hard_vs_soft_semantic_gap,0.644608
raw_softmax,0.1,pearson_hard_vs_soft_semantic_gap,0.629637
raw_softmax,0.1,mean_abs_coverage_difference,0.052564
raw_softmax,0.1,mean_abs_semantic_gap_difference,0.124441
raw_softmax,0.1,top3_overlap_coverage_gap,2.0
raw_softmax,0.1,top3_overlap_semantic_gap,0.0
raw_softmax,0.2,spearman_hard_vs_soft_coverage_gap,0.698529
raw_softmax,0.2,pearson_hard_vs_soft_coverage_gap,0.922483
raw_softmax,0.2,spearman_hard_vs_soft_semantic_gap,0.651961
raw_softmax,0.2,pearson_hard_vs_soft_semantic_gap,0.60743
raw_softmax,0.2,mean_abs_coverage_difference,0.071118
raw_softmax,0.2,mean_abs_semantic_gap_difference,0.155444
raw_softmax,0.2,top3_overlap_coverage_gap,2.0
raw_softmax,0.2,top3_overlap_semantic_gap,1.0
corpus_calibrated_softmax,0.03,spearman_hard_vs_soft_coverage_gap,0.784314
corpus_calibrated_softmax,0.03,pearson_hard_vs_soft_coverage_gap,0.459894
corpus_calibrated_softmax,0.03,spearman_hard_vs_soft_semantic_gap,0.647059
corpus_calibrated_softmax,0.03,pearson_hard_vs_soft_semantic_gap,0.610413
corpus_calibrated_softmax,0.03,mean_abs_coverage_difference,0.053984
corpus_calibrated_softmax,0.03,mean_abs_semantic_gap_difference,0.059095
corpus_calibrated_softmax,0.03,top3_overlap_coverage_gap,2.0
corpus_calibrated_softmax,0.03,top3_overlap_semantic_gap,0.0
corpus_calibrated_softmax,0.05,spearman_hard_vs_soft_coverage_gap,0.784314
corpus_calibrated_softmax,0.05,pearson_hard_vs_soft_coverage_gap,0.457978
corpus_calibrated_softmax,0.05,spearman_hard_vs_soft_semantic_gap,0.647059
corpus_calibrated_softmax,0.05,pearson_hard_vs_soft_semantic_gap,0.616686
corpus_calibrated_softmax,0.05,mean_abs_coverage_difference,0.054167
corpus_calibrated_softmax,0.05,mean_abs_semantic_gap_difference,0.058913
corpus_calibrated_softmax,0.05,top3_overlap_coverage_gap,2.0
corpus_calibrated_softmax,0.05,top3_overlap_semantic_gap,0.0
corpus_calibrated_softmax,0.1,spearman_hard_vs_soft_coverage_gap,0.779412
corpus_calibrated_softmax,0.1,pearson_hard_vs_soft_coverage_gap,0.448864
corpus_calibrated_softmax,0.1,spearman_hard_vs_soft_semantic_gap,0.676471
corpus_calibrated_softmax,0.1,pearson_hard_vs_soft_semantic_gap,0.644645
corpus_calibrated_softmax,0.1,mean_abs_coverage_difference,0.055055
corpus_calibrated_softmax,0.1,mean_abs_semantic_gap_difference,0.058355
corpus_calibrated_softmax,0.1,top3_overlap_coverage_gap,2.0
corpus_calibrated_softmax,0.1,top3_overlap_semantic_gap,0.0
corpus_calibrated_softmax,0.2,spearman_hard_vs_soft_coverage_gap,0.772059
corpus_calibrated_softmax,0.2,pearson_hard_vs_soft_coverage_gap,0.416351
corpus_calibrated_softmax,0.2,spearman_hard_vs_soft_semantic_gap,0.754902
corpus_calibrated_softmax,0.2,pearson_hard_vs_soft_semantic_gap,0.718717
corpus_calibrated_softmax,0.2,mean_abs_coverage_difference,0.058118
corpus_calibrated_softmax,0.2,mean_abs_semantic_gap_difference,0.058672
corpus_calibrated_softmax,0.2,top3_overlap_coverage_gap,2.0
corpus_calibrated_softmax,0.2,top3_overlap_semantic_gap,0.0
