variant,temperature,corpus,sdg,weighted_attention,weighted_attention_share,hard_attention_share_if_available,difference_from_hard_if_available
raw_softmax,0.03,research,1,38340.854977,0.015073,0.006905,0.008168
raw_softmax,0.03,policy,1,39.739968,0.016181,0.008958,0.007223
raw_softmax,0.03,research,2,101268.498603,0.039812,0.034102,0.00571
raw_softmax,0.03,policy,2,40.633627,0.016545,0.003664,0.012881
raw_softmax,0.03,research,3,365994.50724,0.143883,0.178626,-0.034743
raw_softmax,0.03,policy,3,48.324635,0.019676,0.003664,0.016012
raw_softmax,0.03,research,4,342838.87746,0.13478,0.138383,-0.003603
raw_softmax,0.03,policy,4,40.567541,0.016518,0.002036,0.014482
raw_softmax,0.03,research,5,69609.397028,0.027365,0.022897,0.004468
raw_softmax,0.03,policy,5,95.13086,0.038734,0.011401,0.027333
raw_softmax,0.03,research,6,120679.745087,0.047443,0.040331,0.007112
raw_softmax,0.03,policy,6,32.919507,0.013404,0.003664,0.00974
raw_softmax,0.03,research,7,194793.380083,0.076579,0.08369,-0.007111
raw_softmax,0.03,policy,7,48.581342,0.019781,0.004072,0.015709
raw_softmax,0.03,research,8,62638.54613,0.024625,0.014762,0.009863
raw_softmax,0.03,policy,8,23.419336,0.009536,0.00285,0.006686
raw_softmax,0.03,research,9,233706.883816,0.091877,0.102461,-0.010584
raw_softmax,0.03,policy,9,72.471777,0.029508,0.023616,0.005892
raw_softmax,0.03,research,10,36716.978079,0.014434,0.009385,0.005049
raw_softmax,0.03,policy,10,11.734168,0.004778,0.0,0.004778
raw_softmax,0.03,research,11,140439.030463,0.055211,0.054506,0.000705
raw_softmax,0.03,policy,11,37.853459,0.015413,0.027687,-0.012274
raw_softmax,0.03,research,12,112556.09299,0.044249,0.037263,0.006986
raw_softmax,0.03,policy,12,28.18407,0.011476,0.002443,0.009033
raw_softmax,0.03,research,13,138429.286514,0.05442,0.052316,0.002104
raw_softmax,0.03,policy,13,697.276315,0.283907,0.354642,-0.070735
raw_softmax,0.03,research,14,110387.084942,0.043396,0.03884,0.004556
raw_softmax,0.03,policy,14,35.984031,0.014651,0.001221,0.01343
raw_softmax,0.03,research,15,186619.356465,0.073365,0.074239,-0.000874
raw_softmax,0.03,policy,15,62.913595,0.025616,0.008143,0.017473
raw_softmax,0.03,research,16,191543.440377,0.075301,0.084023,-0.008722
raw_softmax,0.03,policy,16,578.436218,0.23552,0.197476,0.038044
raw_softmax,0.03,research,17,97052.331441,0.038154,0.027271,0.010883
raw_softmax,0.03,policy,17,561.828861,0.228758,0.344463,-0.115705
raw_softmax,0.05,research,1,60968.364225,0.023968,0.006905,0.017063
raw_softmax,0.05,policy,1,48.341671,0.019683,0.008958,0.010725
raw_softmax,0.05,research,2,113166.733506,0.044489,0.034102,0.010387
raw_softmax,0.05,policy,2,49.454475,0.020136,0.003664,0.016472
raw_softmax,0.05,research,3,285823.796227,0.112365,0.178626,-0.066261
raw_softmax,0.05,policy,3,49.779966,0.020269,0.003664,0.016605
raw_softmax,0.05,research,4,317537.844101,0.124833,0.138383,-0.01355
raw_softmax,0.05,policy,4,42.249121,0.017202,0.002036,0.015166
raw_softmax,0.05,research,5,84430.074532,0.033192,0.022897,0.010295
raw_softmax,0.05,policy,5,96.847317,0.039433,0.011401,0.028032
raw_softmax,0.05,research,6,133355.794816,0.052426,0.040331,0.012095
raw_softmax,0.05,policy,6,48.16864,0.019613,0.003664,0.015949
raw_softmax,0.05,research,7,179585.303943,0.0706,0.08369,-0.01309
raw_softmax,0.05,policy,7,62.821356,0.025579,0.004072,0.021507
raw_softmax,0.05,research,8,85329.937141,0.033546,0.014762,0.018784
raw_softmax,0.05,policy,8,32.500988,0.013233,0.00285,0.010383
raw_softmax,0.05,research,9,211819.69046,0.083272,0.102461,-0.019189
raw_softmax,0.05,policy,9,81.011869,0.032985,0.023616,0.009369
raw_softmax,0.05,research,10,54632.011386,0.021477,0.009385,0.012092
raw_softmax,0.05,policy,10,21.560546,0.008779,0.0,0.008779
raw_softmax,0.05,research,11,141455.800354,0.05561,0.054506,0.001104
raw_softmax,0.05,policy,11,52.371889,0.021324,0.027687,-0.006363
raw_softmax,0.05,research,12,127699.02752,0.050202,0.037263,0.012939
raw_softmax,0.05,policy,12,48.432364,0.01972,0.002443,0.017277
raw_softmax,0.05,research,13,149000.715257,0.058576,0.052316,0.00626
raw_softmax,0.05,policy,13,640.907544,0.260956,0.354642,-0.093686
