sdg,n_papers,n_policy_chunks,n_policy_chunks_capped,n_policy_docs,n_policy_docs_capped,chunk_cap,raw_similarity,raw_gap,raw_research_cohesion,raw_policy_cohesion,genre_adjusted_similarity,genre_adjusted_gap,genre_adjusted_research_cohesion,genre_adjusted_policy_cohesion,delta_gap,unreliable,unreliable_reason
1,17563,2927,2159,319,319,50,0.682211,0.317789,0.335413,0.628145,0.702541,0.297459,0.335309,0.606808,-0.02033,False,
2,86745,2071,1937,332,332,50,0.674142,0.325858,0.41574,0.625761,0.699412,0.300588,0.416033,0.607908,-0.02527,False,
3,454371,3770,3426,386,386,50,0.562639,0.437361,0.374511,0.569541,0.595072,0.404928,0.374828,0.547353,-0.032433,False,
4,352005,2964,2964,364,364,50,0.714366,0.285634,0.451435,0.60985,0.747267,0.252733,0.451803,0.591774,-0.032901,False,
5,58242,3283,3231,518,518,50,0.748477,0.251523,0.371031,0.621902,0.768268,0.231732,0.370418,0.600324,-0.019791,False,
6,102589,1990,1961,305,305,50,0.490731,0.509269,0.410129,0.66397,0.517987,0.482013,0.410463,0.647493,-0.027256,False,
7,212882,2692,2436,363,363,50,0.502215,0.497785,0.41126,0.641406,0.538171,0.461829,0.411454,0.62355,-0.035956,False,
8,37550,2170,2067,301,301,50,0.720003,0.279997,0.394655,0.587084,0.747251,0.252749,0.394407,0.561513,-0.027248,False,
9,260631,4536,3466,400,400,50,0.779752,0.220248,0.379249,0.566334,0.806493,0.193507,0.379279,0.54679,-0.026741,False,
10,23872,869,606,163,163,50,0.499097,0.500903,0.304806,0.579239,0.523597,0.476403,0.305054,0.556985,-0.0245,False,
11,138646,3019,2933,309,309,50,0.543033,0.456967,0.406702,0.560707,0.571504,0.428496,0.406957,0.536606,-0.028471,False,
12,94787,2249,1978,289,289,50,0.571977,0.428023,0.350752,0.619907,0.603845,0.396155,0.351119,0.60077,-0.031868,False,
13,133076,5688,5165,1643,1643,50,0.463876,0.536124,0.389853,0.647758,0.484718,0.515282,0.390199,0.629424,-0.020842,False,
14,98797,1919,1544,310,310,50,0.516119,0.483881,0.340016,0.656702,0.538936,0.461064,0.340336,0.640639,-0.022817,False,
15,188842,2570,2295,379,379,50,0.536159,0.463841,0.406692,0.625442,0.559697,0.440303,0.406961,0.606919,-0.023538,False,
16,213730,4348,3782,1395,1395,50,0.64422,0.35578,0.35173,0.546306,0.669993,0.330007,0.35188,0.524525,-0.025773,False,
17,69370,7017,5882,1441,1441,50,0.341082,0.658918,0.343207,0.599978,0.353213,0.646787,0.343319,0.574993,-0.012131,False,
