sdg,pair_count,research_sample_n,raw_mean_matched_cosine,adjusted_mean_matched_cosine,delta_mean_cosine,raw_mean_matched_gap,adjusted_mean_matched_gap
1,2159,5000,0.603355,0.597424,-0.00593,0.396645,0.402576
2,1937,5000,0.590278,0.585267,-0.005011,0.409722,0.414733
3,3426,5000,0.542714,0.538054,-0.00466,0.457286,0.461946
4,2964,5000,0.56255,0.558669,-0.003881,0.43745,0.441331
5,3231,5000,0.599503,0.593081,-0.006421,0.400497,0.406919
6,1961,5000,0.58059,0.575277,-0.005313,0.41941,0.424723
7,2436,5000,0.57145,0.567433,-0.004017,0.42855,0.432567
8,2067,5000,0.566266,0.559631,-0.006635,0.433734,0.440369
9,3466,5000,0.581297,0.577181,-0.004116,0.418703,0.422819
10,606,5000,0.547653,0.543289,-0.004363,0.452347,0.456711
11,2933,5000,0.549401,0.546158,-0.003243,0.450599,0.453842
12,1978,5000,0.582693,0.577371,-0.005322,0.417307,0.422629
13,5165,5000,0.601968,0.594815,-0.007153,0.398032,0.405185
14,1544,5000,0.592805,0.586925,-0.00588,0.407195,0.413075
15,2295,5000,0.563146,0.558436,-0.00471,0.436854,0.441564
16,3782,5000,0.554413,0.55037,-0.004044,0.445587,0.44963
17,5882,5000,0.566884,0.555744,-0.011141,0.433116,0.444256
