group_type,group_value,count,mean_score,median_score,std_score,min_score,p25_score,p75_score,max_score
corpus,research,2543698,0.013229,0.008057,0.065865,-0.252646,-0.031416,0.052365,0.411609
corpus,policy,54082,0.292252,0.29606,0.060215,-0.109333,0.256067,0.333195,0.503134
sdg,SDG 1,20490,0.064473,0.033718,0.120449,-0.212948,-0.015515,0.111296,0.478593
corpus_by_sdg,research|SDG 1,17563,0.024847,0.019119,0.07427,-0.212948,-0.023428,0.069463,0.363351
corpus_by_sdg,policy|SDG 1,2927,0.302246,0.305726,0.050055,0.059795,0.2708,0.337124,0.478593
sdg,SDG 2,88816,0.021331,0.01063,0.081513,-0.22534,-0.031807,0.061983,0.4558
corpus_by_sdg,research|SDG 2,86745,0.014912,0.008704,0.070468,-0.22534,-0.03291,0.057406,0.374357
corpus_by_sdg,policy|SDG 2,2071,0.290185,0.294885,0.054279,0.045976,0.258579,0.324937,0.4558
sdg,SDG 3,458141,0.020142,0.01094,0.067387,-0.21423,-0.02547,0.055143,0.503134
corpus_by_sdg,research|SDG 3,454371,0.017913,0.010348,0.062753,-0.21423,-0.025802,0.053746,0.389614
corpus_by_sdg,policy|SDG 3,3770,0.288766,0.295978,0.066869,0.029678,0.248021,0.335502,0.503134
sdg,SDG 4,354969,0.027854,0.022775,0.062946,-0.230782,-0.013792,0.062911,0.454196
corpus_by_sdg,research|SDG 4,352005,0.025707,0.022182,0.058427,-0.230782,-0.014137,0.061691,0.378616
corpus_by_sdg,policy|SDG 4,2964,0.282845,0.286126,0.05953,0.063872,0.242596,0.3248,0.454196
sdg,SDG 5,61525,0.045065,0.030869,0.084098,-0.203311,-0.008707,0.07889,0.48201
corpus_by_sdg,research|SDG 5,58242,0.031453,0.026764,0.061859,-0.203311,-0.010902,0.069167,0.363448
corpus_by_sdg,policy|SDG 5,3283,0.286552,0.289029,0.05526,0.05624,0.252563,0.322075,0.48201
sdg,SDG 6,104579,-0.002287,-0.011884,0.077876,-0.216723,-0.051362,0.032525,0.468306
corpus_by_sdg,research|SDG 6,102589,-0.00836,-0.013396,0.064656,-0.216723,-0.052177,0.029353,0.354965
corpus_by_sdg,policy|SDG 6,1990,0.310806,0.313787,0.057255,0.080682,0.275093,0.351401,0.468306
sdg,SDG 7,215574,-0.015508,-0.022985,0.073002,-0.247508,-0.062024,0.019898,0.475203
corpus_by_sdg,research|SDG 7,212882,-0.019477,-0.023922,0.064012,-0.247508,-0.062597,0.017946,0.381703
corpus_by_sdg,policy|SDG 7,2692,0.298332,0.300058,0.054742,-0.002145,0.260926,0.340581,0.475203
sdg,SDG 8,39720,0.048299,0.031739,0.093962,-0.201837,-0.015021,0.092264,0.458794
corpus_by_sdg,research|SDG 8,37550,0.033748,0.026245,0.072432,-0.201837,-0.017768,0.080476,0.365505
corpus_by_sdg,policy|SDG 8,2170,0.30009,0.30338,0.0613,0.060878,0.26092,0.341151,0.458794
sdg,SDG 9,265167,0.031456,0.025664,0.072935,-0.213674,-0.017841,0.072989,0.443864
corpus_by_sdg,research|SDG 9,260631,0.027585,0.024163,0.066821,-0.213674,-0.01869,0.070003,0.361235
corpus_by_sdg,policy|SDG 9,4536,0.253913,0.257702,0.063746,-0.048638,0.215787,0.296594,0.443864
sdg,SDG 10,24741,0.009145,-0.006383,0.085729,-0.215184,-0.044991,0.043232,0.458437
corpus_by_sdg,research|SDG 10,23872,-0.001131,-0.009224,0.06677,-0.215184,-0.04654,0.036357,0.343958
corpus_by_sdg,policy|SDG 10,869,0.291411,0.295496,0.064804,0.037107,0.263045,0.319703,0.458437
sdg,SDG 11,141665,0.02636,0.017439,0.072953,-0.23149,-0.020412,0.060534,0.478049
corpus_by_sdg,research|SDG 11,138646,0.02059,0.015858,0.061633,-0.23149,-0.021292,0.057191,0.348216
corpus_by_sdg,policy|SDG 11,3019,0.291333,0.294548,0.059588,0.00019,0.252407,0.332865,0.478049
sdg,SDG 12,97036,-0.000894,-0.013638,0.084881,-0.228853,-0.057567,0.040207,0.459018
corpus_by_sdg,research|SDG 12,94787,-0.007946,-0.015741,0.071816,-0.228853,-0.058742,0.035281,0.385277
corpus_by_sdg,policy|SDG 12,2249,0.296304,0.296254,0.055366,0.033219,0.262203,0.33031,0.459018
sdg,SDG 13,138764,0.019951,0.004454,0.087853,-0.232565,-0.033787,0.04963,0.466132
corpus_by_sdg,research|SDG 13,133076,0.00801,0.001506,0.066667,-0.232565,-0.035461,0.042253,0.397372
corpus_by_sdg,policy|SDG 13,5688,0.299328,0.302815,0.054031,-0.109333,0.268309,0.33525,0.466132
sdg,SDG 14,100716,-0.000125,-0.007048,0.073632,-0.247489,-0.04549,0.033583,0.439758
corpus_by_sdg,research|SDG 14,98797,-0.005782,-0.008381,0.0616,-0.247489,-0.046405,0.030767,0.310137
corpus_by_sdg,policy|SDG 14,1919,0.291125,0.292493,0.052166,0.046901,0.263572,0.326322,0.439758
sdg,SDG 15,191412,0.012111,0.004714,0.066722,-0.189955,-0.030116,0.043357,0.448945
corpus_by_sdg,research|SDG 15,188842,0.008221,0.003836,0.057793,-0.189955,-0.030648,0.041448,0.375048
corpus_by_sdg,policy|SDG 15,2570,0.297929,0.300502,0.057766,0.070801,0.261751,0.338974,0.448945
sdg,SDG 16,218078,0.025571,0.01703,0.077155,-0.252646,-0.027315,0.068864,0.457565
corpus_by_sdg,research|SDG 16,213730,0.020667,0.015332,0.069239,-0.252646,-0.028273,0.06513,0.347685
corpus_by_sdg,policy|SDG 16,4348,0.266629,0.272637,0.06023,-0.007154,0.232134,0.305846,0.457565
sdg,SDG 17,76387,0.041249,0.008666,0.112329,-0.219223,-0.027872,0.062696,0.498943
corpus_by_sdg,research|SDG 17,69370,0.013098,0.002042,0.070577,-0.219223,-0.031699,0.041551,0.411609
corpus_by_sdg,policy|SDG 17,7017,0.319545,0.322706,0.053199,0.005816,0.284912,0.356385,0.498943
