sdg,n_papers,n_policy_chunks_capped,n_policy_docs_capped,raw_gap,classifier_global_adjusted_gap,classifier_global_delta_gap,regression_global_adjusted_gap,regression_global_delta_gap,classifier_within_sdg_adjusted_gap,classifier_within_sdg_delta_gap,regression_within_sdg_adjusted_gap,regression_within_sdg_delta_gap,unreliable,unreliable_reason
1,17563,2159,319,0.317789,0.262221,0.055568,0.052138,0.265651,0.204093,0.113696,0.052141,0.265648,False,
2,86745,1937,332,0.325858,0.258187,0.067671,0.204512,0.121346,0.177527,0.148331,0.004019,0.321839,False,
3,454371,3426,386,0.437361,0.370957,0.066404,0.255831,0.18153,0.314773,0.122588,0.007262,0.430099,False,
4,352005,2964,364,0.285634,0.223138,0.062496,0.192404,0.09323,0.109873,0.175761,6.4e-05,0.28557,False,
5,58242,3231,518,0.251523,0.198139,0.053384,0.135796,0.115727,0.138485,0.113038,0.000966,0.250557,False,
6,102589,1961,305,0.509269,0.434113,0.075156,0.366545,0.142724,0.27061,0.238659,0.000285,0.508984,False,
7,212882,2436,363,0.497785,0.40862,0.089165,0.367128,0.130657,0.253558,0.244227,0.008781,0.489004,False,
8,37550,2067,301,0.279997,0.214149,0.065848,0.176285,0.103712,0.133397,0.1466,0.002408,0.277589,False,
9,260631,3466,400,0.220248,0.159689,0.060559,0.153406,0.066842,0.140067,0.080181,0.004047,0.216201,False,
10,23872,606,163,0.500903,0.426697,0.074206,0.177054,0.323849,0.25734,0.243563,0.117912,0.382991,False,
11,138646,2933,309,0.456967,0.394227,0.06274,0.329628,0.127339,0.28752,0.169447,0.000288,0.456679,False,
12,94787,1978,289,0.428023,0.337576,0.090447,0.290024,0.137999,0.207417,0.220606,0.02257,0.405453,False,
13,133076,5165,1643,0.536124,0.486419,0.049705,0.407438,0.128686,0.403754,0.13237,0.002783,0.533341,False,
14,98797,1544,310,0.483881,0.416805,0.067076,0.343791,0.14009,0.231868,0.252013,0.043301,0.44058,False,
15,188842,2295,379,0.463841,0.40349,0.060351,0.353787,0.110054,0.249071,0.21477,0.008536,0.455305,False,
16,213730,3782,1395,0.35578,0.292864,0.062916,0.263421,0.092359,0.228088,0.127692,0.020013,0.335767,False,
17,69370,5882,1441,0.658918,0.620335,0.038583,0.441864,0.217054,0.558807,0.100111,0.022353,0.636565,False,
