sdg,n_papers,n_policy_chunks,n_policy_chunks_capped,n_policy_docs,n_policy_docs_capped,chunk_cap,raw_similarity,raw_gap,raw_research_cohesion,raw_policy_cohesion,sdg_balanced_adjusted_similarity,sdg_balanced_adjusted_gap,sdg_balanced_adjusted_gap_research_cohesion,sdg_balanced_adjusted_gap_policy_cohesion,delta_gap,classifier_available,skip_reason,unreliable,unreliable_reason
1,17563,2927,2159,319,319,50,0.682211,0.317789,0.335413,0.628145,0.737779,0.262221,0.335585,0.580636,0.055568,True,,False,
2,86745,2071,1937,332,332,50,0.674142,0.325858,0.41574,0.625761,0.741813,0.258187,0.416539,0.581401,0.067671,True,,False,
3,454371,3770,3426,386,386,50,0.562639,0.437361,0.374511,0.569541,0.629043,0.370957,0.374832,0.511861,0.066404,True,,False,
4,352005,2964,2964,364,364,50,0.714366,0.285634,0.451435,0.60985,0.776862,0.223138,0.451618,0.565278,0.062496,True,,False,
5,58242,3283,3231,518,518,50,0.748477,0.251523,0.371031,0.621902,0.801861,0.198139,0.370657,0.577778,0.053384,True,,False,
6,102589,1990,1961,305,305,50,0.490731,0.509269,0.410129,0.66397,0.565887,0.434113,0.41088,0.619435,0.075156,True,,False,
7,212882,2692,2436,363,363,50,0.502215,0.497785,0.41126,0.641406,0.59138,0.40862,0.411707,0.597321,0.089165,True,,False,
8,37550,2170,2067,301,301,50,0.720003,0.279997,0.394655,0.587084,0.785851,0.214149,0.394537,0.532819,0.065848,True,,False,
9,260631,4536,3466,400,400,50,0.779752,0.220248,0.379249,0.566334,0.840311,0.159689,0.379274,0.523083,0.060559,True,,False,
10,23872,869,606,163,163,50,0.499097,0.500903,0.304806,0.579239,0.573303,0.426697,0.305436,0.529527,0.074206,True,,False,
11,138646,3019,2933,309,309,50,0.543033,0.456967,0.406702,0.560707,0.605773,0.394227,0.406959,0.502427,0.06274,True,,False,
12,94787,2249,1978,289,289,50,0.571977,0.428023,0.350752,0.619907,0.662424,0.337576,0.351615,0.572561,0.090447,True,,False,
13,133076,5688,5165,1643,1643,50,0.463876,0.536124,0.389853,0.647758,0.513581,0.486419,0.390558,0.603109,0.049705,True,,False,
14,98797,1919,1544,310,310,50,0.516119,0.483881,0.340016,0.656702,0.583195,0.416805,0.340607,0.61791,0.067076,True,,False,
15,188842,2570,2295,379,379,50,0.536159,0.463841,0.406692,0.625442,0.59651,0.40349,0.407246,0.57984,0.060351,True,,False,
16,213730,4348,3782,1395,1395,50,0.64422,0.35578,0.35173,0.546306,0.707136,0.292864,0.352075,0.495958,0.062916,True,,False,
17,69370,7017,5882,1441,1441,50,0.341082,0.658918,0.343207,0.599978,0.379665,0.620335,0.343572,0.538993,0.038583,True,,False,
