rank,doc_id,corpus_type,assigned_sdg,projection_score,title,text_preview,source_doc_or_year
1,sdgi_00878_3,policy,3,0.503134,,"3.b. The country has seen an increase in total net official development assistance for medical research and basic health services: €5.1 thousand in 2018 and €3.3 million in 2021. 3.c. The number of health workers in the country has changed: a slight decrease in the number of doctors 49 per 10,000 inhabitants in 2018, 46.9 in 2021, an increase in the number of nurses and midwives (in 2018 there wer",sdgi_LTU_VNR_2023
2,sdgi_05080_12,policy,17,0.498943,,"It is a cause of concern that net ODA flows slid down by 4.3 per cent in 2018, with a dwindling share going to countries that needed it most. Further, against the commitment of raising USD 100 billion of additional resources annually by 2020 through the Green Climate Fund for meeting the pressing climate mitigation and adaptation needs of developing countries, only USD 10.3 billion equivalent in p",sdgi_IND_VNR_2020
3,sdgi_00657_5,policy,3,0.482271,,"GOAL 3.2 By 2030, end, as a public health problem, the epidemics of AIDS, tuberculosis, malaria, viral hepatitis, neglected diseases, water-borne diseases, arboviruses transmitted by Aedes aegypti and other transmissible diseases. GOAL 3.3 B R A Z I L I A N SDG GOALS VOLUNTARY LOCAL REPORT ON SUSTAINABLE DEVELOPMENT GOALS IN THE STATE OF PARÁ • 2022 33 SDG 3. GOOD HEALTH AND WELL-BEING WHERE WE AR",sdgi_BRA_VLR_pará_2022
4,sdgi_01520_21,policy,5,0.48201,,"When taking into account also other official flows, private funds mobilized through public intervention and support to international public goods, the Total Official Support to Sustainable Development (TOSSD) of the EU to SDG 5 amounted to EUR 5.9 billion in 2021. For EU institutions, the data on the OECD-DAC gender equality policy marker for 2021 shows that overall, the number of gender-responsiv",sdgi_EU_VNR_2023
5,sdgi_01173_15,policy,17,0.481008,,"64 EU external action ( 10) See UN SDG Report 2021 (page 34) and UN SDG Report 2022 (Page 33). ( 11) This budget complements the overall indicative financial envelope of Erasmus+ 2021-2027 which amounts to EUR 26.2 billion. Global trends Progress since 2015 to achieve SDG 4 has been hampered by the COVID-19 pandemic, with an estimated 147 million children unable to attend school in 2020 and 2021 (",sdgi_EU_VNR_2023
6,sdgi_00251_7,policy,1,0.478593,,"Child benefts should be index-linked, and should not entail deductions from other necessary welfare benefts for recipients; • maintain support for signifcant and enhanced ODA commitments to accelerate implementation of the 2030 agenda. Norway must continue to commit at least 1 per cent of GNI to ODA, and should commit to further ODA increases in light of post-pandemic challenges; • through develop",sdgi_NOR_VNR_2021
7,sdgi_04635_11,policy,11,0.478049,,"With regard to compliance with the right of access to public information, and as a means of ensuring its correct exercise, the target for 2030 is to reduce the number of requests for access to municipal information contested before the Commission for Guaranteeing the Right of Access to Public Information to less than 5%. In 2021, 8% of the petitions were contested, 3% less than in 2020. Details of",sdgi_ESP_VLR_barcelona_2022
8,sdgi_02192_0,policy,7,0.475203,,"| SECOND VOLUNTARY NATIONAL REVIEW REPORT ON THE IMPLEMENTATION OF THE SUSTAINABLE DEVELOPMENT GOALS - JUNE, 2020 .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 56 4.7 ENSURE ACCESS TO AFFORDABLE, RELIABLE, SUSTAINABLE AND MODERN ENERGY FOR ALL Indicator 7.1.1: Proportion of po",sdgi_KEN_VNR_2020
9,sdgi_04940_1,policy,17,0.474102,,"17.19. Make good use of existing initiatives to produce indicators that make it possible to measure the progress achieved in terms of sustainable development and which complement the indicators used to measure Gross Domestic Product, and provide support for training in statistics for developing countries. Municipal strategies and plans considered for the localisation of SDG 17 · Barcelona Cooperat",sdgi_ESP_VLR_barcelona_2020
10,OECD_2022_SDGs_in_the_Balance_2022_0108,policy,17,0.471461,,"continue on the trajectory towards every human being, current and future, Targets are shown by goal, and goals sustainable development. Experience and thus improving well-being in a are clustered by the ""5Ps"" of the 2030 in the OECD area over the past three FIGURE 1: OECD countries' average distance from achieving SDG targets Goals 1: Eradicate poverty PARTNERSHIP 2: Food E 3: Health A C E P 4: Ed",OECD_2022_SDGs_in_the_Balance_2022
11,sdgi_00657_4,policy,3,0.468859,,"GOAL 3.7 Ensure, through the National Public Health Service (from the original, SUS), universal health coverage, access to quality essential health services at all levels of care and access to safe, effective, and quality essential medicines and vaccines. GOAL 3.8 By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals, contamination and pollution of the air and g",sdgi_BRA_VLR_pará_2022
12,sdgi_00245_7,policy,6,0.468306,,)Ζ*85(3RSXODWLRQFRYHUHGE\\VRFLDOSURWHFWLRQIORRUVV\\VWHPV 6RXUFHV16Ζ2DQG3HRSOHȇV 'DLO\\ 39+66SURJUDPPH 1DWLRQDO+RPH*URZQ6FKRRO)HHGLQJ3URJUDPPH 8QHPSOR\\PHQWJUDGXDWHGDWDEDVHV &DVK7UDQVIHU3URJUDPPH 53 A Second Voluntary National Review June 2020 The proxy used for basic services is access to improved sanitation services (Indicator 1.4.1a) and improved water sources (indicator 1.4.1b). The baseline figure,sdgi_NGA_VNR_2020
13,sdgi_01940_5,policy,6,0.467449,,"ASSESSMENT OF PROGRESS IN THE AUTONOMOUS REGIONS OVERALL EVALUATION Progress in autonomous regions in the indicators impacting SDG 6 can only be analysed for both island regions through the «Safe Water» indicator, which is the only one with data for both regions. The level of excellence of 5. Progress on the goals and targets and evaluation of policies and measures taken so far from the perspectiv",sdgi_PRT_VNR_2023
14,sdgi_05054_2,policy,17,0.466619,,"This corresponds to 0.59% of their collective gross national income(GNI). They stay committed to reaching their collective target of providing 0.7% of GNI as ODA by 2030 in line with the 2030 Agenda. 19 The EUand its Member States, in aTeam Europe approach, have supported partner countries towards sustainable recovery aligned with the SDGs. For this purpose, they provided EUR 47.7 billion from the",sdgi_EU_VNR_2023
15,OECD_2022_Global_Outlook_on_Financing_for_Sustainable_Development_2023_No_Sustainability_Without_Equity_0228,policy,13,0.466132,," 123 with the goals of the Paris Agreement on climate change (OECD, 2021 ). Their declaration recognised [165] the key role played by ODA and other official resources to achieve the Paris Agreement objectives and committed to scaling up finance for climate adaptation. Since the start of the pandemic, official providers have also made numerous commitments in global health, such as the G20 leaders'",OECD_2022_Global_Outlook_on_Financing_for_Sustainable_Development_2023_No_Sustainability_Without_Equity
16,UN_SDG_Progress_Report_2023_0226,policy,17,0.46579,,16 Office of the Special Representative of the Secretary-General on Violence Against Children Goal 4 Quality education..................................................2 0 Office of the United Nations High Commissioner for Human Rights (OHCHR) Office of the United Nations High Commissioner for Refugees (UNHCR) Goal 5 Gender equality ...................................................2 2 Organisati,UN_SDG_Progress_Report_2023
17,sdgi_04793_0,policy,3,0.465344,,"| SECOND VOLUNTARY NATIONAL REVIEW REPORT ON THE IMPLEMENTATION OF THE SUSTAINABLE DEVELOPMENT GOALS - JUNE, 2020 .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 72 4.16 PROMOTE PEACEFUL AND INCLUSIVE SOCIETIES FOR SUSTAINABLE DEVELOPMENT, PROVIDE ACCESS TO JUSTICE FOR ALL AND B",sdgi_KEN_VNR_2020
18,UN_SDG_Progress_Report_2022_0177,policy,17,0.46509,,"120 If outside, left-aligned and 0p3 away. $6.3 billion (or 3.5 per cent of total net ODA), amounting to nearly Number line 0p2 below bottom bar. Stroke .25pt. 857 million dosTeicsk fmoarr kdse 0vpe3 lloonpgi.n Tge xct o0up1n bterlioews .t ick mark. 80 Legend categories right-aligned, 1p0 apart, 0p3 between color bubble and Since 2015, net ODA has increased by 20 per cent. Despite fiscal text. pre",UN_SDG_Progress_Report_2022
19,SDSN_Sustainable_Development_Report_2025_0069,policy,6,0.464238,,"PART 2 - THE SDG INDEX AND DASHBOARDS Figure 2.8 2025 SDG dashboards for OECD countries (levels and trends) DECENT INDUSTRY, RESPONSIBLE PEACE, GOOD HEALTH CLEAN WATER AFFORDABLE WORK AND INNOVATION SUSTAINABLE CONSUMPTION LIFE JUSTICE PARTNERSHIPS NO ZERO AND QUALITY GENDER AND AND CLEAN ECONOMIC AND REDUCED CITIES AND AND CLIMATE BELOW LIFE AND STRONG FOR THE POVERTY HUNGER WELL-BEING EDUCATION",SDSN_Sustainable_Development_Report_2025
20,sdgi_00278_7,policy,1,0.464155,,"The Government of the ARP has also drafted the Sustainable Development Plan - ""Principe 2030"", which includes actions aimed at climate change resilience. The Government of STP is very sensitive to the problem of poverty in the country, precisely because of this, it has paid attention to poverty reduction programs, having allocated to them, in 2016, more than half of the external resources (53%) an",sdgi_STP_VNR_2022
21,sdgi_03293_0,policy,11,0.46344,,"!""#$%&'()*(+!,+- ,./01.12343562*67*481294*:;<;*429*3=1* >?>34524@01*91A106/.123*8640>*52*B6>254*429*C1DE186A524 !! SDG 11. MAKING CITIES AND HUMAN SETTLEMENTS INCLUSIVE, SAFE, RESILIENT, AND SUSTAINABLE BiH is composed of 145 local government units, comprising municipalities and cities. Among these, 79 are located in the FBiH, 65 in the RS, and one in the BD BiH. Notably, several cities such as Sa",sdgi_BIH_VNR_2023
22,sdgi_03646_0,policy,17,0.463302,,"| SECOND VOLUNTARY NATIONAL REVIEW REPORT ON THE IMPLEMENTATION OF THE SUSTAINABLE DEVELOPMENT GOALS - JUNE, 2020 .. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 66 4.12 ENSURE SUSTAINABLE CONSUMPTION AND PRODUCTION PATTERNS Indicator 12.1.1: Number of countries with sustainable",sdgi_KEN_VNR_2020
23,ungdc_003206,policy,13,0.463226,,"At a time when 13 people lose their lives every minute owing to air pollution and when global warming threatens our very future, we cannot afford to remain indifferent. First and foremost, we need to strengthen the capacity and efficiency of the United Nations. In particular, we should immediately carry out much- needed fundamental reforms of the Security Council, in line with the principles of ju",ungdc_TUR_74_2019
24,sdgi_01880_7,policy,3,0.462528,,"Further, all households in the GKMA travelled less than 500 m. The situation differs for the OUCs and Rural Areas, at 74.3 per cent and 51.1 per cent respectively. The improvement in the proportion for OUCs may be attributed to the increase in the proportion having access to improved sources and is consistent with projects rolled out by the NWC up to 2019. 140 CLEAN WATER AND SANITIZATION VOLUNTAR",sdgi_JAM_VNR_2022
25,sdgi_00810_14,policy,3,0.462078,,"Modest progress is being registered towards achievement of UHC, as illustrated by improvements on the UHC service coverage index. In 2019, it was 54.9, an increase from 47.6 in 2016.18 Target 3.6: By 2020, halve the number of global deaths and injuries from road traffic accidents Target 3.7: By 2030, ensure universal access to sexual and reproductive health-care services, including for family plan",sdgi_ERI_VNR_2022
26,sdgi_00310_12,policy,1,0.46123,,"VOLUNTARY NATIONAL REVIEW 2023 ON THE IMPLEMENTATION 35 OF THE SUSTAINABLE DEVELOPMENT GOALS epidemic with a total budget of almost VND 104.5 trillion through cash payments or through direct and indirect policies 22. In general, in recent years, social assistance regimes and policies keep being expanded in terms of bene""ciaries, are implemented for the right purposes, to the right target groups in",sdgi_VNM_VNR_2023
27,sdgi_00639_1,policy,3,0.461203,,"3.2 By 2030, end preventable deaths of newborns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to at least as low as 12 per 1,000 live births and under-5 mortality to at least as low as 25 per 1,000 live births. 3.3 By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and othe",sdgi_ARG_VLR_buenos_aires_2021
28,sdgi_04621_7,policy,17,0.461139,,"And, in 2020, in continuation of the achievements started in the previous year, the government has invested in constructions and training of public security agents, and has intensified the project for monitoring via video, besides the renewal of the Military Police fleet. It has been invested a total sum of R$2.8 billion, in 2019, and R$2.9billion, in 2020, 3.6% more in expenses in the field of pu",sdgi_BRA_VLR_pará_2021
29,sdgi_00822_0,policy,3,0.460599,,"39 40 SDG 3: Good Health and Well-Being Ensure Healthy Lives and Promote Well-being for All at All ages Fiji’s priority targets for SDG 3 are: Target 3.1 – By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births Target 3.2 - By 2030, end preventable deaths of new-borns and children under 5 years of age, with all countries aiming to reduce neonatal mortality to a",sdgi_FJI_VNR_2023
30,sdgi_03737_12,policy,12,0.459018,,"VOLUNTARY NATIONAL REVIEW 2023 ON THE IMPLEMENTATION 131 OF THE SUSTAINABLE DEVELOPMENT GOALS Ministries, sectors, and localities have proactively implemented many activities to accelerate the comprehensive treatment of establishments causing serious environmental pollution. By the end of 2021, 372 out of 435 establishments basically completed thorough treatment, no longer causing serious environm",sdgi_VNM_VNR_2023
