sdg,classifier_cosine_similarity,regression_cosine_similarity,regression_abs_cosine_similarity,regression_within_sdg_cosine_similarity,regression_within_sdg_abs_cosine_similarity
1,0.338783,0.693315,0.693315,0.693315,0.693315
2,0.385398,0.58508,0.58508,0.67378,0.67378
3,0.436047,0.528134,0.528134,0.674682,0.674682
4,0.366492,0.456274,0.456274,0.547273,0.547273
5,0.350507,0.517563,0.517563,0.682187,0.682187
6,0.407611,0.459062,0.459062,0.727248,0.727248
7,0.392107,0.458867,0.458867,0.722399,0.722399
8,0.406272,0.603364,0.603364,0.640199,0.640199
9,0.420737,0.495574,0.495574,0.706893,0.706893
10,0.330694,0.624086,0.624086,0.575186,0.575186
11,0.448476,0.53992,0.53992,0.634872,0.634872
12,0.403086,0.448003,0.448003,0.739528,0.739528
13,0.416918,0.490739,0.490739,0.733447,0.733447
14,0.376393,0.37487,0.37487,0.788806,0.788806
15,0.423251,0.458815,0.458815,0.720493,0.720493
16,0.208825,0.292426,0.292426,0.487245,0.487245
17,0.456363,0.529715,0.529715,0.760522,0.760522
