sdg,available_research,available_policy,sampled_per_class,train_size,test_size,accuracy,macro_f1,roc_auc,coefficient_norm,intercept,classifier_available,skip_reason
1,17563,2927,2927,4683,1171,0.982067,0.982067,0.998136,20.628645,-4.134036,True,
2,86745,2071,2071,3313,829,0.967431,0.96743,0.994238,18.235546,-3.645954,True,
3,454371,3770,3770,6032,1508,0.964191,0.96419,0.992681,21.661161,-4.291483,True,
4,352005,2964,2964,4742,1186,0.973019,0.973018,0.996787,20.223804,-3.816913,True,
5,58242,3283,3283,5252,1314,0.968037,0.968037,0.995422,21.171299,-4.60589,True,
6,102589,1990,1990,3184,796,0.987437,0.987436,0.999615,16.229172,-3.267977,True,
7,212882,2692,2692,4307,1077,0.985144,0.985142,0.999031,17.705383,-3.417359,True,
8,37550,2170,2170,3472,868,0.967742,0.967741,0.996268,18.527018,-3.664853,True,
9,260631,4536,4536,7257,1815,0.966391,0.966391,0.993637,24.614723,-4.774171,True,
10,23872,869,869,1390,348,0.982759,0.982756,0.997655,13.144396,-2.797621,True,
11,138646,3019,3019,4830,1208,0.977649,0.977648,0.998224,20.741869,-3.034694,True,
12,94787,2249,2249,3598,900,0.976667,0.976666,0.995738,17.923744,-3.265278,True,
13,133076,5688,5688,9100,2276,0.980228,0.980228,0.997888,22.241627,-4.386212,True,
14,98797,1919,1919,3070,768,0.983073,0.983073,0.9992,15.960812,-3.466833,True,
15,188842,2570,2570,4112,1028,0.984436,0.984436,0.998978,18.417978,-3.307113,True,
16,213730,4348,4348,6956,1740,0.97069,0.970689,0.995538,23.949144,-3.684277,True,
17,69370,7017,7017,11227,2807,0.971144,0.971136,0.995427,23.668818,-5.183411,True,
