tier_label,sample_size,n_draws,deterministic,macro_coverage_variance,mean_semantic_gap,std_semantic_gap,mean_h26_asymmetry_gap,std_h26_asymmetry_gap,mean_a15_calibration_bias,std_a15_calibration_bias,mean_observed_semantic_sdgs,mean_reliable_semantic_sdgs
1k,1000,100,False,0.006803,0.464649,0.014591,0.130621,0.006888,0.320032,0.005054,17.0,15.64
2k,2000,100,False,0.004927,0.441462,0.010757,0.139092,0.004331,0.32,0.003372,17.0,16.87
5k,5000,100,False,0.003015,0.426927,0.006654,0.146184,0.00459,0.320882,0.001903,17.0,17.0
10k,10000,100,False,0.002091,0.419834,0.00509,0.149053,0.003545,0.320674,0.001334,17.0,17.0
20k,20000,100,False,0.001529,0.416279,0.004322,0.150713,0.002476,0.320732,0.001046,17.0,17.0
50k,50000,100,False,0.000948,0.413554,0.002531,0.151726,0.001536,0.320499,0.000638,17.0,17.0
100k,100000,100,False,0.000687,0.412855,0.001963,0.151881,0.001243,0.320503,0.000462,17.0,17.0
200k,200000,100,False,0.000463,0.412585,0.001214,0.152084,0.000769,0.320512,0.000336,17.0,17.0
500k,500000,100,False,0.000276,0.412414,0.000723,0.152321,0.000438,0.320543,0.000201,17.0,17.0
1m,1000000,100,False,0.000168,0.41231,0.000412,0.152385,0.00029,0.320533,0.000121,17.0,17.0
2m,2000000,100,False,7e-05,0.412319,0.000188,0.152365,0.00014,0.320538,4.7e-05,17.0,17.0
full corpus,2543698,1,True,,0.412347,,0.152361,,0.320545,,,
